experiment_name,dataset_id,split_id,scenario_id,severity,graph_seed,model_id,protocol,n_runs,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std,f1_macro_mean,f1_macro_std
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,camouflage_feature_oracle,0.15,0,pmp,train_on_variant,3,0.8106647774016631,0.005275739061645439,0.513389337885112,0.008980251574225205,0.7013850346643795,0.005612611568296911
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,camouflage_feature_oracle,0.15,1,pmp,train_on_variant,3,0.7933755825606933,0.009653452697531605,0.48624940749368145,0.013090059965159094,0.6900273996030454,0.005713864812806948
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,camouflage_feature_oracle,0.3,0,pmp,train_on_variant,3,0.7624936926046075,0.004129550905524917,0.42105185913796594,0.010767572315030508,0.6621816981940629,0.0023911996942427727
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,camouflage_feature_oracle,0.3,1,pmp,train_on_variant,3,0.7571025805758645,0.009968481489481462,0.4137300812574621,0.016307241330640605,0.6602220978563449,0.007497232351350319
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,camouflage_relation_oracle,0.15,0,pmp,train_on_variant,3,0.8483255929586855,0.0035668185837418997,0.5662063838766757,0.022160836779746215,0.7206473514886308,0.009117426150886846
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,camouflage_relation_oracle,0.15,1,pmp,train_on_variant,3,0.8443126317375432,0.0036276089956152374,0.5442342613543416,0.00828078786640041,0.7173734386308989,0.0020858447914893557
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,camouflage_relation_oracle,0.3,0,pmp,train_on_variant,3,0.8458932361219517,0.0022531455259045758,0.546722013675533,0.00500637117055585,0.7187600862170834,0.004292714462165531
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,camouflage_relation_oracle,0.3,1,pmp,train_on_variant,3,0.8461821821606278,0.00860856282320637,0.55143632184158,0.026953712035702803,0.7163569210651032,0.008025274061443754
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,clean,0,717,pmp,train_on_variant,3,0.8491937768747129,0.0038429465319576995,0.5677252637869848,0.013443553198234745,0.719663923941368,0.002034369365771763
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,heterophily_rewire_nonoracle,0.15,0,pmp,train_on_variant,3,0.8370950825246147,0.006511127684945081,0.5254109290822021,0.023001739247452337,0.7054208128295312,0.006721738833668585
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,heterophily_rewire_nonoracle,0.15,1,pmp,train_on_variant,3,0.838783227841669,0.007179330532920324,0.5312502651242237,0.0302697581779995,0.7101400278670116,0.006259921759923574
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,heterophily_rewire_nonoracle,0.3,0,pmp,train_on_variant,3,0.8319692915912066,0.000729531985731535,0.5065907662820458,0.0023600852390306235,0.7017476465858082,0.0012475078280699827
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,heterophily_rewire_nonoracle,0.3,1,pmp,train_on_variant,3,0.8308183507285327,0.005552140220274884,0.5121975222014663,0.01944393589333195,0.7019427355996821,0.006134448017207265
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,heterophily_rewire_oracle,0.15,0,pmp,train_on_variant,3,0.8770159686990581,0.0016812529867209435,0.5822766212225009,0.00919550120854021,0.7414247751283078,0.005237625386798814
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,heterophily_rewire_oracle,0.15,1,pmp,train_on_variant,3,0.8756367023463257,0.0020467613953685684,0.5805297197110358,0.010868967408275771,0.7420560791020473,0.0043248617182769546
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,heterophily_rewire_oracle,0.3,0,pmp,train_on_variant,3,0.8990334988437078,0.01700836587823705,0.6338109122912393,0.04108755958563861,0.761689827564967,0.020792723272068638
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,heterophily_rewire_oracle,0.3,1,pmp,train_on_variant,3,0.8763637479686757,0.023633892555452864,0.5697991445553033,0.057265769552852626,0.7374593764862947,0.022523633372186994
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,noise_edges_uniform,0.1,0,pmp,train_on_variant,3,0.8372443194377538,0.001892502189225495,0.5177108842922789,0.0061369483348397,0.7039699751729938,0.005065587156847979
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,noise_edges_uniform,0.1,1,pmp,train_on_variant,3,0.8455913005328447,0.0008858732718430328,0.5548704896884689,0.009771625046224563,0.7143485467775067,0.00266148978297034
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,noise_edges_uniform,0.2,0,pmp,train_on_variant,3,0.8376420172320836,0.0036556199024389826,0.5175075081953241,0.007523550588513879,0.7094187997700084,0.003928958497432563
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,noise_edges_uniform,0.2,1,pmp,train_on_variant,3,0.8376132750728177,0.008742847760872873,0.5280364567074378,0.030351288335189644,0.708107769913894,0.009629258619380082
