experiment_name,dataset_id,split_id,scenario_id,severity,graph_seed,model_id,protocol,n_runs,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std,f1_macro_mean,f1_macro_std
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,camouflage_feature_oracle,0.15,0,secgfd,train_on_variant,3,0.7791357561417389,0.012096176683603558,0.43298009730075426,0.017949979416541785,0.6678241227531323,0.014000139311176265
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,camouflage_feature_oracle,0.15,1,secgfd,train_on_variant,3,0.7614508683117472,0.010768561802131229,0.4122935728982717,0.019729194326636123,0.6611304716776072,0.012403638394320047
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,camouflage_feature_oracle,0.3,0,secgfd,train_on_variant,3,0.7445601295182039,0.023017563269342577,0.3925484913483312,0.037821718237754064,0.6483739288152537,0.015565848110964663
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,camouflage_feature_oracle,0.3,1,secgfd,train_on_variant,3,0.7530106260556789,0.0045206363275331245,0.3971558854310873,0.01065106151285494,0.653037407073995,0.0023053106790529546
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,camouflage_relation_oracle,0.15,0,secgfd,train_on_variant,3,0.8129681597535581,0.001417751541339765,0.47078822774668716,0.006663021661496316,0.6891905012263215,0.003746891282531975
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,camouflage_relation_oracle,0.15,1,secgfd,train_on_variant,3,0.8094339381001235,0.002774316786018431,0.4631676293247439,0.010355744625656187,0.6846917497525989,0.001199835221315038
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,camouflage_relation_oracle,0.3,0,secgfd,train_on_variant,3,0.810412564954104,0.0042187677976073526,0.4656279079934423,0.011368016171175032,0.6869458564150936,0.0019033395933510965
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,camouflage_relation_oracle,0.3,1,secgfd,train_on_variant,3,0.8154245186752259,0.0023550798678180166,0.4757189487678704,0.00903930685927163,0.6914034354602263,0.005870099535114284
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,clean,0,717,secgfd,train_on_variant,3,0.812236381996699,0.002775689259910157,0.4704254705348501,0.002193142349121461,0.6869626295963106,0.003512402359746653
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,heterophily_rewire_nonoracle,0.15,0,secgfd,train_on_variant,3,0.8142597784001752,0.012638757456290315,0.47300743744499657,0.02665366561457606,0.6920272223708559,0.013302366902629901
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,heterophily_rewire_nonoracle,0.15,1,secgfd,train_on_variant,3,0.8168400184102264,0.007479515764310519,0.4774507077679667,0.014056106417083597,0.6952414098160133,0.010726135749310231
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,heterophily_rewire_nonoracle,0.3,0,secgfd,train_on_variant,3,0.8191686771886472,0.013143985196963979,0.48112160866274534,0.020636300138799444,0.6950645597690718,0.011443523077518468
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,heterophily_rewire_nonoracle,0.3,1,secgfd,train_on_variant,3,0.8205324013378538,0.010019577157560496,0.48639585021763737,0.012801596182030993,0.6947797814837431,0.011713369257848254
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,heterophily_rewire_oracle,0.15,0,secgfd,train_on_variant,3,0.9966556949428537,0.005034868278687906,0.9896150069593121,0.013470788978511134,0.9808603048817338,0.01490261792548055
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,heterophily_rewire_oracle,0.15,1,secgfd,train_on_variant,3,0.9968230584719054,0.004916690962415569,0.99073615406451,0.013449535218030353,0.9823224890797929,0.01679347306804217
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,heterophily_rewire_oracle,0.3,0,secgfd,train_on_variant,3,0.999999817384071,3.163000674418245e-07,0.9999989311922215,1.851229375957349e-06,0.999890508715483,0.0001896444677693935
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,heterophily_rewire_oracle,0.3,1,secgfd,train_on_variant,3,1.0,0.0,1.0,0.0,0.9996713445975082,0.0002898539755526146
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,noise_edges_uniform,0.1,0,secgfd,train_on_variant,3,0.8159583566446537,0.007670922655230052,0.47386166714065864,0.011372126840516873,0.6920304236625867,0.00992398252231804
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,noise_edges_uniform,0.1,1,secgfd,train_on_variant,3,0.8161174786374298,0.009829355723883982,0.47504856676465884,0.023127938475830036,0.6941577973522375,0.01158373957336842
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,noise_edges_uniform,0.2,0,secgfd,train_on_variant,3,0.8189120819587912,0.015147169421873354,0.47996714074017494,0.02835257525266914,0.6937039006932337,0.015960038353483842
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,noise_edges_uniform,0.2,1,secgfd,train_on_variant,3,0.8156840992785305,0.014050738728493236,0.47302463328449756,0.026858848990365513,0.6933815486121344,0.012690591420786275
