experiment_name,dataset_id,split_id,scenario_id,severity,graph_seed,model_id,protocol,n_runs,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std,f1_macro_mean,f1_macro_std
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,camouflage_feature_oracle,0.15,0,mlp,train_on_variant,3,0.7450229973797314,0.023534927626135613,0.3646257459710287,0.04139035526912926,0.6390069793618205,0.02043138512570435
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,camouflage_feature_oracle,0.15,0,sage,train_on_variant,3,0.75809529267585,0.009503883614691216,0.3915600574845767,0.01224590519725485,0.6516012327175905,0.0023841549220695655
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,camouflage_feature_oracle,0.15,1,mlp,train_on_variant,3,0.7328948542261201,0.023019875190536578,0.3493140408580588,0.0425765767153678,0.6300102024744754,0.020534587467838428
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,camouflage_feature_oracle,0.15,1,sage,train_on_variant,3,0.6947461563952034,0.09692449541744322,0.3142475810911657,0.11788164150483801,0.6089035705033395,0.06636013404821824
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,camouflage_feature_oracle,0.3,0,mlp,train_on_variant,3,0.6990424263806908,0.019619831856869836,0.3162056681080449,0.03819965725840815,0.6128071399817033,0.019300327918839566
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,camouflage_feature_oracle,0.3,0,sage,train_on_variant,3,0.7134430699446321,0.006529149499957672,0.342503615836499,0.004787637897039136,0.6289731008014481,0.0003293844965359493
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,camouflage_feature_oracle,0.3,1,mlp,train_on_variant,3,0.7007327075101325,0.0025940966022177455,0.326424312070565,0.00452088493319601,0.6203843626335728,0.0023363904166200026
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,camouflage_feature_oracle,0.3,1,sage,train_on_variant,3,0.6612991438520617,0.07145967441950911,0.28115780242035376,0.09036444219740468,0.5937054067026957,0.04900100355741263
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,camouflage_relation_oracle,0.15,0,mlp,train_on_variant,3,0.7812706633893618,0.028782937533635766,0.39937979216947617,0.05468471766479163,0.6531843309265226,0.023559940421078222
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,camouflage_relation_oracle,0.15,0,sage,train_on_variant,3,0.754016462683086,0.06423581098563698,0.36638281075681167,0.10507513042660362,0.6421957994927708,0.051453574906959273
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,camouflage_relation_oracle,0.15,1,mlp,train_on_variant,3,0.7812706633893618,0.028782937533635766,0.39937979216947617,0.05468471766479163,0.6531843309265226,0.023559940421078222
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,camouflage_relation_oracle,0.15,1,sage,train_on_variant,3,0.6956389180333324,0.09520788439034397,0.2919472739782298,0.12905974313033997,0.6001203037548356,0.06664425922029195
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,camouflage_relation_oracle,0.3,0,mlp,train_on_variant,3,0.7812706633893618,0.028782937533635766,0.39937979216947617,0.05468471766479163,0.6531843309265226,0.023559940421078222
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,camouflage_relation_oracle,0.3,0,sage,train_on_variant,3,0.7900066322929498,0.007007750518734353,0.42624365323347496,0.012599191352309672,0.669918298729955,0.00560288883896894
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,camouflage_relation_oracle,0.3,1,mlp,train_on_variant,3,0.7812706633893618,0.028782937533635766,0.39937979216947617,0.05468471766479163,0.6531843309265226,0.023559940421078222
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,camouflage_relation_oracle,0.3,1,sage,train_on_variant,3,0.7346512383519621,0.1089822016557413,0.3542411526141959,0.1401056616128006,0.6307446480032524,0.07302884067109079
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,clean,0,717,mlp,train_on_variant,3,0.7812706633893618,0.028782937533635766,0.39937979216947617,0.05468471766479163,0.6531843309265226,0.023559940421078222
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,clean,0,717,sage,train_on_variant,3,0.7920125055070613,0.0075352886148325774,0.4293322379081629,0.015305932257955186,0.6708518031464994,0.004795489526380665
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,heterophily_rewire_nonoracle,0.15,0,mlp,train_on_variant,3,0.7812706633893618,0.028782937533635766,0.39937979216947617,0.05468471766479163,0.6531843309265226,0.023559940421078222
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,heterophily_rewire_nonoracle,0.15,0,sage,train_on_variant,3,0.7285281103716701,0.09925492300392705,0.3444189612949603,0.11815613679701499,0.6242213837589723,0.059758036708948824
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,heterophily_rewire_nonoracle,0.15,1,mlp,train_on_variant,3,0.7812706633893618,0.028782937533635766,0.39937979216947617,0.05468471766479163,0.6531843309265226,0.023559940421078222
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,heterophily_rewire_nonoracle,0.15,1,sage,train_on_variant,3,0.6919400641499587,0.09124052805321403,0.2926937491494338,0.11365051141799909,0.6004498976338942,0.057187699846677376
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,heterophily_rewire_nonoracle,0.3,0,mlp,train_on_variant,3,0.7812706633893618,0.028782937533635766,0.39937979216947617,0.05468471766479163,0.6531843309265226,0.023559940421078222
