experiment_name,dataset_id,split_id,graph_seed,training_seed,scenario_id,severity,model_id,roc_auc,average_precision,f1_macro,threshold,duration_sec,n_nodes,n_edges,mean_in_degree,median_in_degree,mean_out_degree,median_out_degree,heterophily_ratio,pos_rate,base_graph_path,graph_path,status,error
gfd_robustness_benchmark_v1,yelpchi,s0,0,0,heterophily_rewire_oracle,0.1,mlp,0.7454900098288657,0.32993069369014705,0.6212913484984293,0.5031920671463013,3.7234241999976803,45954,8051348,175.2045135498047,173.0,175.2045135498047,175.0,0.3041885793209076,0.14529746770858765,D:\Revolucion\1. Fakulltet\4.1 Semestri\6. Theoretical Graphs\GitHub\fraud-detection-robustness-benchmark\runs\gfd_robustness_benchmark_v1\graphs\base\yelpchi\s0\graph.bin,D:\Revolucion\1. Fakulltet\4.1 Semestri\6. Theoretical Graphs\GitHub\fraud-detection-robustness-benchmark\runs\gfd_robustness_benchmark_v1\graphs\variants\yelpchi\s0\heterophily_rewire_oracle\0.10\seed_0\graph.bin,ok,
gfd_robustness_benchmark_v1,yelpchi,s0,0,0,heterophily_rewire_oracle,0.1,sage,0.8270558869531812,0.48126306606271396,0.6914447846149825,0.6538550853729248,42.58490189998702,45954,8051348,175.2045135498047,173.0,175.2045135498047,175.0,0.3041885793209076,0.14529746770858765,D:\Revolucion\1. Fakulltet\4.1 Semestri\6. Theoretical Graphs\GitHub\fraud-detection-robustness-benchmark\runs\gfd_robustness_benchmark_v1\graphs\base\yelpchi\s0\graph.bin,D:\Revolucion\1. Fakulltet\4.1 Semestri\6. Theoretical Graphs\GitHub\fraud-detection-robustness-benchmark\runs\gfd_robustness_benchmark_v1\graphs\variants\yelpchi\s0\heterophily_rewire_oracle\0.10\seed_0\graph.bin,ok,
gfd_robustness_benchmark_v1,yelpchi,s0,0,1,heterophily_rewire_oracle,0.1,mlp,0.796473987329567,0.4273605426031708,0.6645019227299513,0.6847622990608215,21.04551050000009,45954,8051348,175.2045135498047,173.0,175.2045135498047,175.0,0.3041885793209076,0.14529746770858765,D:\Revolucion\1. Fakulltet\4.1 Semestri\6. Theoretical Graphs\GitHub\fraud-detection-robustness-benchmark\runs\gfd_robustness_benchmark_v1\graphs\base\yelpchi\s0\graph.bin,D:\Revolucion\1. Fakulltet\4.1 Semestri\6. Theoretical Graphs\GitHub\fraud-detection-robustness-benchmark\runs\gfd_robustness_benchmark_v1\graphs\variants\yelpchi\s0\heterophily_rewire_oracle\0.10\seed_0\graph.bin,ok,
gfd_robustness_benchmark_v1,yelpchi,s0,0,1,heterophily_rewire_oracle,0.1,sage,0.6583951932883215,0.22754984822331878,0.5705328787446422,0.2725083529949188,9.60023270000238,45954,8051348,175.2045135498047,173.0,175.2045135498047,175.0,0.3041885793209076,0.14529746770858765,D:\Revolucion\1. Fakulltet\4.1 Semestri\6. Theoretical Graphs\GitHub\fraud-detection-robustness-benchmark\runs\gfd_robustness_benchmark_v1\graphs\base\yelpchi\s0\graph.bin,D:\Revolucion\1. Fakulltet\4.1 Semestri\6. Theoretical Graphs\GitHub\fraud-detection-robustness-benchmark\runs\gfd_robustness_benchmark_v1\graphs\variants\yelpchi\s0\heterophily_rewire_oracle\0.10\seed_0\graph.bin,ok,
gfd_robustness_benchmark_v1,yelpchi,s0,0,2,heterophily_rewire_oracle,0.1,mlp,0.7984809562392526,0.4304289439152013,0.6684407487635773,0.6828234791755676,20.21660030000203,45954,8051348,175.2045135498047,173.0,175.2045135498047,175.0,0.3041885793209076,0.14529746770858765,D:\Revolucion\1. Fakulltet\4.1 Semestri\6. Theoretical Graphs\GitHub\fraud-detection-robustness-benchmark\runs\gfd_robustness_benchmark_v1\graphs\base\yelpchi\s0\graph.bin,D:\Revolucion\1. Fakulltet\4.1 Semestri\6. Theoretical Graphs\GitHub\fraud-detection-robustness-benchmark\runs\gfd_robustness_benchmark_v1\graphs\variants\yelpchi\s0\heterophily_rewire_oracle\0.10\seed_0\graph.bin,ok,
gfd_robustness_benchmark_v1,yelpchi,s0,0,2,heterophily_rewire_oracle,0.1,sage,0.8339065806142298,0.4912557683080162,0.693597781564363,0.6355397701263428,41.616070099989884,45954,8051348,175.2045135498047,173.0,175.2045135498047,175.0,0.3041885793209076,0.14529746770858765,D:\Revolucion\1. Fakulltet\4.1 Semestri\6. Theoretical Graphs\GitHub\fraud-detection-robustness-benchmark\runs\gfd_robustness_benchmark_v1\graphs\base\yelpchi\s0\graph.bin,D:\Revolucion\1. Fakulltet\4.1 Semestri\6. Theoretical Graphs\GitHub\fraud-detection-robustness-benchmark\runs\gfd_robustness_benchmark_v1\graphs\variants\yelpchi\s0\heterophily_rewire_oracle\0.10\seed_0\graph.bin,ok,
gfd_robustness_benchmark_v1,yelpchi,s0,0,3,heterophily_rewire_oracle,0.1,mlp,0.7969184109822616,0.42466350389875007,0.6616948630240598,0.6279451847076416,20.501016499998514,45954,8051348,175.2045135498047,173.0,175.2045135498047,175.0,0.3041885793209076,0.14529746770858765,D:\Revolucion\1. Fakulltet\4.1 Semestri\6. Theoretical Graphs\GitHub\fraud-detection-robustness-benchmark\runs\gfd_robustness_benchmark_v1\graphs\base\yelpchi\s0\graph.bin,D:\Revolucion\1. Fakulltet\4.1 Semestri\6. Theoretical Graphs\GitHub\fraud-detection-robustness-benchmark\runs\gfd_robustness_benchmark_v1\graphs\variants\yelpchi\s0\heterophily_rewire_oracle\0.10\seed_0\graph.bin,ok,
gfd_robustness_benchmark_v1,yelpchi,s0,0,3,heterophily_rewire_oracle,0.1,sage,0.8350929449972255,0.49112895285387637,0.6968686110463185,0.6543216109275818,43.990941099997144,45954,8051348,175.2045135498047,173.0,175.2045135498047,175.0,0.3041885793209076,0.14529746770858765,D:\Revolucion\1. Fakulltet\4.1 Semestri\6. Theoretical Graphs\GitHub\fraud-detection-robustness-benchmark\runs\gfd_robustness_benchmark_v1\graphs\base\yelpchi\s0\graph.bin,D:\Revolucion\1. Fakulltet\4.1 Semestri\6. Theoretical Graphs\GitHub\fraud-detection-robustness-benchmark\runs\gfd_robustness_benchmark_v1\graphs\variants\yelpchi\s0\heterophily_rewire_oracle\0.10\seed_0\graph.bin,ok,
gfd_robustness_benchmark_v1,yelpchi,s0,0,4,heterophily_rewire_oracle,0.1,mlp,0.796241807055441,0.43187999810896954,0.6688578423842971,0.6845642328262329,21.405416699999478,45954,8051348,175.2045135498047,173.0,175.2045135498047,175.0,0.3041885793209076,0.14529746770858765,D:\Revolucion\1. Fakulltet\4.1 Semestri\6. Theoretical Graphs\GitHub\fraud-detection-robustness-benchmark\runs\gfd_robustness_benchmark_v1\graphs\base\yelpchi\s0\graph.bin,D:\Revolucion\1. Fakulltet\4.1 Semestri\6. Theoretical Graphs\GitHub\fraud-detection-robustness-benchmark\runs\gfd_robustness_benchmark_v1\graphs\variants\yelpchi\s0\heterophily_rewire_oracle\0.10\seed_0\graph.bin,ok,
gfd_robustness_benchmark_v1,yelpchi,s0,0,4,heterophily_rewire_oracle,0.1,sage,0.8292135973724648,0.4778348590423687,0.6895100828155222,0.6783392429351807,44.741505900004995,45954,8051348,175.2045135498047,173.0,175.2045135498047,175.0,0.3041885793209076,0.14529746770858765,D:\Revolucion\1. Fakulltet\4.1 Semestri\6. Theoretical Graphs\GitHub\fraud-detection-robustness-benchmark\runs\gfd_robustness_benchmark_v1\graphs\base\yelpchi\s0\graph.bin,D:\Revolucion\1. Fakulltet\4.1 Semestri\6. Theoretical Graphs\GitHub\fraud-detection-robustness-benchmark\runs\gfd_robustness_benchmark_v1\graphs\variants\yelpchi\s0\heterophily_rewire_oracle\0.10\seed_0\graph.bin,ok,
