dataset_id,split_id,scenario_id,model_id,protocol,metric,oracle_labels,claim_scope,operational_ranking_eligible,robustness_auc_mean,robustness_auc_std,robustness_auc_ci_lower,robustness_auc_ci_upper,robustness_avg_metric_mean,robustness_avg_metric_std,robustness_avg_metric_ci_lower,robustness_avg_metric_ci_upper,min_n_runs_per_severity,n_paired_seed_cells,n_training_seeds,n_graph_seeds,ci_method
yelpchi,r40_s0,heterophily_rewire_nonoracle,sage,train_clean_eval_all,average_precision,False,non_oracle_controlled_stress,True,0.12661256792939526,0.002999626083860243,0.1241736011973151,0.12889134386374806,0.422041893097984,0.009998753612867478,0.4139120039910503,0.4296378128791603,5,10,5,2,paired_curve_crossed_training_graph_seed_bootstrap
yelpchi,r40_s0,heterophily_rewire_nonoracle,pmp,train_clean_eval_all,average_precision,False,non_oracle_controlled_stress,True,0.15455614487994618,0.003488964143312274,0.1518490917180887,0.15728962255898166,0.5151871495998205,0.011629880477707584,0.5061636390602956,0.5242987418632722,5,10,5,2,paired_curve_crossed_training_graph_seed_bootstrap
yelpchi,r40_s0,heterophily_rewire_nonoracle,secgfd,train_clean_eval_all,average_precision,False,non_oracle_controlled_stress,True,0.1326854753197426,0.008532271600599039,0.12593608368106618,0.13946240953699113,0.44228491773247525,0.028440905335330127,0.4197869456035539,0.46487469845663715,5,10,5,2,paired_curve_crossed_training_graph_seed_bootstrap
yelpchi,r40_s0,heterophily_rewire_nonoracle,mlp,train_clean_eval_all,f1_macro,False,non_oracle_controlled_stress,True,0.19747929419319507,0.005121653174574797,0.1925824599133809,0.20016342413857183,0.6582643139773169,0.017072177248582662,0.641941533044603,0.6672114137952395,5,10,5,2,paired_curve_crossed_training_graph_seed_bootstrap
yelpchi,r40_s0,heterophily_rewire_nonoracle,sage,train_clean_eval_all,f1_macro,False,non_oracle_controlled_stress,True,0.200004854403189,0.0008317527886399424,0.19931720086069563,0.2006177120382065,0.6666828480106302,0.002772509295466476,0.6643906695356521,0.6687257067940218,5,10,5,2,paired_curve_crossed_training_graph_seed_bootstrap
yelpchi,r40_s0,heterophily_rewire_nonoracle,pmp,train_clean_eval_all,f1_macro,False,non_oracle_controlled_stress,True,0.20945093348953098,0.0010599209073133495,0.20866676699101447,0.21040571440807948,0.6981697782984366,0.0035330696910444892,0.6955558899700485,0.701352381360265,5,10,5,2,paired_curve_crossed_training_graph_seed_bootstrap
yelpchi,r40_s0,heterophily_rewire_nonoracle,secgfd,train_clean_eval_all,f1_macro,False,non_oracle_controlled_stress,True,0.20290084692092525,0.0033879466725715043,0.20018802892462126,0.20560861094479013,0.6763361564030841,0.01129315557523833,0.6672934297487376,0.6853620364826336,5,10,5,2,paired_curve_crossed_training_graph_seed_bootstrap
yelpchi,r40_s0,camouflage_feature_oracle,mlp,train_clean_eval_all,roc_auc,True,oracle_shift_sensitivity_diagnostic,False,0.22383514927208653,0.0054856695147429465,0.21874545491779615,0.22777670666257227,0.7461171642402885,0.018285565049143162,0.7291515163926539,0.7592556888752409,5,10,5,2,paired_curve_crossed_training_graph_seed_bootstrap
yelpchi,r40_s0,camouflage_feature_oracle,sage,train_clean_eval_all,roc_auc,True,oracle_shift_sensitivity_diagnostic,False,0.2254309277797511,0.00197954765314811,0.22337875007616279,0.22766532196484468,0.7514364259325037,0.006598492177160375,0.7445958335872093,0.7588844065494823,5,10,5,2,paired_curve_crossed_training_graph_seed_bootstrap
yelpchi,r40_s0,camouflage_feature_oracle,pmp,train_clean_eval_all,roc_auc,True,oracle_shift_sensitivity_diagnostic,False,0.24114182200573073,0.0018073347428318697,0.23927527867498433,0.24307099096184537,0.8038060733524357,0.0060244491427729075,0.7975842622499479,0.8102366365394845,5,10,5,2,paired_curve_crossed_training_graph_seed_bootstrap
yelpchi,r40_s0,camouflage_feature_oracle,secgfd,train_clean_eval_all,roc_auc,True,oracle_shift_sensitivity_diagnostic,False,0.2280440422100999,0.003459973527988477,0.2246225394860697,0.2311616867580711,0.7601468073669997,0.011533245093294932,0.7487417982868989,0.7705389558602372,5,10,5,2,paired_curve_crossed_training_graph_seed_bootstrap
yelpchi,r40_s0,camouflage_feature_oracle,mlp,train_clean_eval_all,average_precision,True,oracle_shift_sensitivity_diagnostic,False,0.11093676864442596,0.010188461201168014,0.10125151555478948,0.11742765039622405,0.3697892288147533,0.033961537337226726,0.3375050518492983,0.391425501320747,5,10,5,2,paired_curve_crossed_training_graph_seed_bootstrap
yelpchi,r40_s0,camouflage_feature_oracle,sage,train_clean_eval_all,average_precision,True,oracle_shift_sensitivity_diagnostic,False,0.11552431112313628,0.0031935725461974067,0.11254969669968047,0.11849711410006188,0.385081037077121,0.010645241820658012,0.37516565566560156,0.39499038033353956,5,10,5,2,paired_curve_crossed_training_graph_seed_bootstrap
yelpchi,r40_s0,camouflage_feature_oracle,pmp,train_clean_eval_all,average_precision,True,oracle_shift_sensitivity_diagnostic,False,0.1499741126856802,0.0048209498734657855,0.14631839341560932,0.1538752430541023,0.4999137089522674,0.01606983291155262,0.4877279780520311,0.5129174768470077,5,10,5,2,paired_curve_crossed_training_graph_seed_bootstrap
yelpchi,r40_s0,camouflage_feature_oracle,secgfd,train_clean_eval_all,average_precision,True,oracle_shift_sensitivity_diagnostic,False,0.12163435139146965,0.00714245386808981,0.11525056815459485,0.12746536274271542,0.4054478379715655,0.02380817956029937,0.3841685605153163,0.42488454247571805,5,10,5,2,paired_curve_crossed_training_graph_seed_bootstrap
yelpchi,r40_s0,camouflage_feature_oracle,mlp,train_clean_eval_all,f1_macro,True,oracle_shift_sensitivity_diagnostic,False,0.19150201415648876,0.00452258364553137,0.18718153604848609,0.19452495706279632,0.638340047188296,0.01507527881843789,0.6239384534949537,0.6484165235426543,5,10,5,2,paired_curve_crossed_training_graph_seed_bootstrap
yelpchi,r40_s0,camouflage_feature_oracle,sage,train_clean_eval_all,f1_macro,True,oracle_shift_sensitivity_diagnostic,False,0.19467438901126263,0.0012642756033563833,0.19331432271324905,0.19600244891828283,0.648914630037542,0.004214252011187942,0.6443810757108303,0.653341496394276,5,10,5,2,paired_curve_crossed_training_graph_seed_bootstrap
yelpchi,r40_s0,camouflage_feature_oracle,pmp,train_clean_eval_all,f1_macro,True,oracle_shift_sensitivity_diagnostic,False,0.2076431652937627,0.0008484150420395905,0.20678970951255032,0.20852207369442927,0.6921438843125423,0.002828050140131983,0.689299031708501,0.6950735789814311,5,10,5,2,paired_curve_crossed_training_graph_seed_bootstrap
yelpchi,r40_s0,camouflage_feature_oracle,secgfd,train_clean_eval_all,f1_macro,True,oracle_shift_sensitivity_diagnostic,False,0.19691979806362467,0.0033939649621782617,0.19397731742977106,0.19976537092567614,0.656399326878749,0.011313216540594204,0.6465910580992368,0.665884569752254,5,10,5,2,paired_curve_crossed_training_graph_seed_bootstrap
yelpchi,r40_s0,camouflage_relation_oracle,mlp,train_clean_eval_all,roc_auc,True,oracle_shift_sensitivity_diagnostic,False,0.23624973274555777,0.006241731187715977,0.23032053859439977,0.23931639314929204,0.7874991091518593,0.020805770625719925,0.7677351286479994,0.7977213104976403,5,10,5,2,paired_curve_crossed_training_graph_seed_bootstrap
yelpchi,r40_s0,camouflage_relation_oracle,sage,train_clean_eval_all,roc_auc,True,oracle_shift_sensitivity_diagnostic,False,0.23707467700085444,0.0016040225500516684,0.23556653481558398,0.23815488301258353,0.7902489233361816,0.005346741833505581,0.7852217827186132,0.793849610041945,5,10,5,2,paired_curve_crossed_training_graph_seed_bootstrap
yelpchi,r40_s0,camouflage_relation_oracle,pmp,train_clean_eval_all,roc_auc,True,oracle_shift_sensitivity_diagnostic,False,0.2530336320302687,0.0013868615509715892,0.25175212027440197,0.2540840613237946,0.8434454401008955,0.004622871836571965,0.8391737342480065,0.8469468710793153,5,10,5,2,paired_curve_crossed_training_graph_seed_bootstrap
yelpchi,r40_s0,camouflage_relation_oracle,secgfd,train_clean_eval_all,roc_auc,True,oracle_shift_sensitivity_diagnostic,False,0.24147267201848846,0.0037144074499392875,0.23846054947489503,0.24440655234052006,0.804908906728295,0.0123813581664643,0.7948684982496502,0.8146885078017336,5,10,5,2,paired_curve_crossed_training_graph_seed_bootstrap
yelpchi,r40_s0,camouflage_relation_oracle,mlp,train_clean_eval_all,average_precision,True,oracle_shift_sensitivity_diagnostic,False,0.12337304438410641,0.011892643524766145,0.11200951878218782,0.12962754138190138,0.41124348128035476,0.03964214508255382,0.3733650626072927,0.43209180460633795,5,10,5,2,paired_curve_crossed_training_graph_seed_bootstrap
yelpchi,r40_s0,camouflage_relation_oracle,sage,train_clean_eval_all,average_precision,True,oracle_shift_sensitivity_diagnostic,False,0.12764480477623802,0.0033699963832362566,0.1248802929658488,0.13017503030431443,0.42548268258746,0.011233321277454196,0.41626764321949594,0.43391676768104803,5,10,5,2,paired_curve_crossed_training_graph_seed_bootstrap
yelpchi,r40_s0,camouflage_relation_oracle,pmp,train_clean_eval_all,average_precision,True,oracle_shift_sensitivity_diagnostic,False,0.1652662674530518,0.005221935690712065,0.16123844030005174,0.16942186439885204,0.5508875581768394,0.017406452302373566,0.5374614676668391,0.5647395479961734,5,10,5,2,paired_curve_crossed_training_graph_seed_bootstrap
yelpchi,r40_s0,camouflage_relation_oracle,secgfd,train_clean_eval_all,average_precision,True,oracle_shift_sensitivity_diagnostic,False,0.13638530016473557,0.007955199782823975,0.12997486098517483,0.14261124526796579,0.4546176672157854,0.02651733260941324,0.4332495366172494,0.47537081755988564,5,10,5,2,paired_curve_crossed_training_graph_seed_bootstrap
yelpchi,r40_s0,camouflage_relation_oracle,mlp,train_clean_eval_all,f1_macro,True,oracle_shift_sensitivity_diagnostic,False,0.19747929419319507,0.005121653174574797,0.1925824599133809,0.20016342413857183,0.6582643139773169,0.017072177248582662,0.641941533044603,0.6672114137952395,5,10,5,2,paired_curve_crossed_training_graph_seed_bootstrap
yelpchi,r40_s0,camouflage_relation_oracle,sage,train_clean_eval_all,f1_macro,True,oracle_shift_sensitivity_diagnostic,False,0.2007177443896734,0.0010074739862535522,0.19984671937662996,0.20143956792264522,0.669059147965578,0.0033582466208451644,0.6661557312554334,0.6714652264088175,5,10,5,2,paired_curve_crossed_training_graph_seed_bootstrap
yelpchi,r40_s0,camouflage_relation_oracle,pmp,train_clean_eval_all,f1_macro,True,oracle_shift_sensitivity_diagnostic,False,0.21459192274817412,0.0011791044657636736,0.2137208265605389,0.21563646657678115,0.7153064091605803,0.003930348219212258,0.7124027552017964,0.7187882219226038,5,10,5,2,paired_curve_crossed_training_graph_seed_bootstrap
yelpchi,r40_s0,camouflage_relation_oracle,secgfd,train_clean_eval_all,f1_macro,True,oracle_shift_sensitivity_diagnostic,False,0.20413578557935458,0.003745318099935492,0.20115292326542544,0.2071017935853415,0.6804526185978486,0.012484393666451647,0.6705097442180847,0.6903393119511385,5,10,5,2,paired_curve_crossed_training_graph_seed_bootstrap
yelpchi,r40_s0,noise_edges_uniform,mlp,train_clean_eval_all,roc_auc,False,non_oracle_controlled_stress,True,0.15749982183037187,0.004161154125143987,0.1535470257295999,0.15954426209952802,0.7874991091518593,0.020805770625719935,0.7677351286479994,0.7977213104976403,5,10,5,2,paired_curve_crossed_training_graph_seed_bootstrap
yelpchi,r40_s0,noise_edges_uniform,sage,train_clean_eval_all,roc_auc,False,non_oracle_controlled_stress,True,0.1581227240497366,0.0009474603900922782,0.1572107261260321,0.1587477743088162,0.7906136202486828,0.004737301950461394,0.7860536306301604,0.793738871544081,5,10,5,2,paired_curve_crossed_training_graph_seed_bootstrap
yelpchi,r40_s0,noise_edges_uniform,pmp,train_clean_eval_all,roc_auc,False,non_oracle_controlled_stress,True,0.16747509198126154,0.0008802746036499378,0.16672018756450316,0.16806719978221146,0.8373754599063075,0.004401373018249677,0.8336009378225155,0.8403359989110574,5,10,5,2,paired_curve_crossed_training_graph_seed_bootstrap
