dataset_id,split_id,scenario_id,severity,model_id,protocol,metric,oracle_labels,claim_scope,operational_ranking_eligible,mean,std,ci_lower,ci_upper,n_runs,n_training_seeds,n_graph_seeds,n_seed_cells,ci_method,source
yelpchi,r40_s0,heterophily_rewire_oracle,0.15,secgfd,train_clean_eval_all,average_precision,True,oracle_shift_sensitivity_diagnostic,False,0.23983614201462583,0.026301528436371974,0.21949836255263694,0.2616903640084825,10,5,2,10,crossed_training_graph_seed_bootstrap,scenario
yelpchi,r40_s0,heterophily_rewire_oracle,0.3,secgfd,train_clean_eval_all,average_precision,True,oracle_shift_sensitivity_diagnostic,False,0.13703413000723025,0.014593567250075642,0.12721711664361218,0.15038013802272815,10,5,2,10,crossed_training_graph_seed_bootstrap,scenario
yelpchi,r40_s0,heterophily_rewire_oracle,0.0,mlp,train_clean_eval_all,f1_macro,True,oracle_shift_sensitivity_diagnostic,False,0.6582643139773169,0.01810777845313724,0.641941533044603,0.6672277752551701,5,5,1,5,crossed_training_graph_seed_bootstrap,clean
yelpchi,r40_s0,heterophily_rewire_oracle,0.15,mlp,train_clean_eval_all,f1_macro,True,oracle_shift_sensitivity_diagnostic,False,0.6582643139773169,0.017072177248582662,0.641941533044603,0.6672114137952395,10,5,2,10,crossed_training_graph_seed_bootstrap,scenario
yelpchi,r40_s0,heterophily_rewire_oracle,0.3,mlp,train_clean_eval_all,f1_macro,True,oracle_shift_sensitivity_diagnostic,False,0.6582643139773169,0.017072177248582662,0.641941533044603,0.6672114137952395,10,5,2,10,crossed_training_graph_seed_bootstrap,scenario
yelpchi,r40_s0,heterophily_rewire_oracle,0.0,sage,train_clean_eval_all,f1_macro,True,oracle_shift_sensitivity_diagnostic,False,0.6706504896075932,0.0034652203515956703,0.6679241139543695,0.6730677967397527,5,5,1,5,crossed_training_graph_seed_bootstrap,clean
yelpchi,r40_s0,heterophily_rewire_oracle,0.15,sage,train_clean_eval_all,f1_macro,True,oracle_shift_sensitivity_diagnostic,False,0.6556981122836177,0.003928493864435868,0.6524458898167808,0.6587595626684251,10,5,2,10,crossed_training_graph_seed_bootstrap,scenario
yelpchi,r40_s0,heterophily_rewire_oracle,0.3,sage,train_clean_eval_all,f1_macro,True,oracle_shift_sensitivity_diagnostic,False,0.6483004284325192,0.005826892148782438,0.6440393121571378,0.6536186269274952,10,5,2,10,crossed_training_graph_seed_bootstrap,scenario
yelpchi,r40_s0,heterophily_rewire_oracle,0.0,pmp,train_clean_eval_all,f1_macro,True,oracle_shift_sensitivity_diagnostic,False,0.7180227604746475,0.0029944450782016835,0.7154590428620085,0.7203074887962327,5,5,1,5,crossed_training_graph_seed_bootstrap,clean
yelpchi,r40_s0,heterophily_rewire_oracle,0.15,pmp,train_clean_eval_all,f1_macro,True,oracle_shift_sensitivity_diagnostic,False,0.6579555582598362,0.008604104991690446,0.650637656441039,0.6650316045309409,10,5,2,10,crossed_training_graph_seed_bootstrap,scenario
