split_regime_id,train_size,val_size,test_size,dataset_id,scenario_id,model_id,protocol,metric,max_severity,oracle_labels,claim_scope,operational_ranking_eligible,clean_mean,clean_std,clean_ci_lower,clean_ci_upper,max_severity_mean,max_severity_std,max_severity_ci_lower,max_severity_ci_upper,drop_mean,drop_std,drop_ci_lower,drop_ci_upper,n_splits,min_paired_training_seeds_per_split,min_graph_seeds_per_split,ci_method
train40_val20_test40,0.4,0.2,0.4,yelpchi,camouflage_feature_oracle,mlp,train_clean_eval_all,average_precision,0.3,True,oracle_shift_sensitivity_diagnostic,False,0.4060183289392887,0.005707179290994764,0.39992793265853593,0.41124348128035465,0.32150850593836605,0.0037117177159466286,0.31789541106302255,0.3253115521787414,0.08450982300092265,0.002153235373335272,0.08203252159551336,0.08593192910161324,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,camouflage_feature_oracle,mlp,train_clean_eval_all,f1_macro,0.3,True,oracle_shift_sensitivity_diagnostic,False,0.6538326159046216,0.004060001895576253,0.6502925106481887,0.6582643139773169,0.612861462917789,0.003347675365323874,0.6106823852106926,0.6167160778302229,0.040971152986832675,0.0011832137949400608,0.03961012543749608,0.0417550973759078,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,camouflage_feature_oracle,mlp,train_clean_eval_all,roc_auc,0.3,True,oracle_shift_sensitivity_diagnostic,False,0.7823719533628771,0.004440726318102569,0.7797431422795956,0.7874991091518592,0.6986191190842602,0.003715105186521319,0.6955934947029311,0.7027655987509451,0.08375283427861689,0.0012281415947504864,0.08237534485827225,0.08473351040091405,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,camouflage_feature_oracle,mlp,train_on_variant,average_precision,0.3,True,oracle_privileged_training_diagnostic,False,0.4060183289392887,0.005707179290994764,0.39992793265853593,0.41124348128035465,0.31711153171297973,0.006091648597481776,0.3121636764024629,0.32391526635063866,0.08890679722630901,0.0023666256325264898,0.08732821492971603,0.09162792049313802,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,camouflage_feature_oracle,mlp,train_on_variant,f1_macro,0.3,True,oracle_privileged_training_diagnostic,False,0.6538326159046216,0.004060001895576253,0.6502925106481887,0.6582643139773169,0.6110813415879256,0.0054833806516652005,0.6076117233032663,0.6174029551832622,0.04275127431669614,0.0023120868599460884,0.04086135879405477,0.045329299785092904,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,camouflage_feature_oracle,mlp,train_on_variant,roc_auc,0.3,True,oracle_privileged_training_diagnostic,False,0.7823719533628771,0.004440726318102569,0.7797431422795956,0.7874991091518592,0.6951727499843744,0.005192756895691755,0.6915298182593569,0.7011187170910217,0.08719920337850266,0.0009319437702995454,0.08638039206083757,0.08821332402023856,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,camouflage_feature_oracle,pmp,train_clean_eval_all,average_precision,0.3,True,oracle_shift_sensitivity_diagnostic,False,0.5552613216133242,0.002669828395410064,0.5522394269132922,0.5573005662067334,0.4387356349433012,0.0034611013485867756,0.4353137698264346,0.4422346815603639,0.11652568667002301,0.00234216642681415,0.1140092901595831,0.11864211276362839,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,camouflage_feature_oracle,pmp,train_clean_eval_all,f1_macro,0.3,True,oracle_shift_sensitivity_diagnostic,False,0.7174531815578268,0.0006039508497571604,0.7168199074913527,0.7180227604746475,0.665811286831517,0.0014540227685538119,0.6642555572452882,0.6671359251631023,0.05164189472630967,0.00204675091884385,0.049683982328250186,0.05376720322935937,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,camouflage_feature_oracle,pmp,train_clean_eval_all,roc_auc,0.3,True,oracle_shift_sensitivity_diagnostic,False,0.8456095121048636,0.0008522075206968861,0.8451136884200032,0.8465935467722904,0.7594849363772456,0.0021591560177487163,0.7570320884453091,0.7610981515996776,0.08612457572761807,0.001730459613081608,0.08479673203554709,0.08808159997469418,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,camouflage_feature_oracle,pmp,train_on_variant,average_precision,0.3,True,oracle_privileged_training_diagnostic,False,0.5552613216133242,0.002669828395410064,0.5522394269132922,0.5573005662067334,0.42705899633532834,0.007633906837000019,0.42213154424794325,0.43585254824873393,0.1282023252779959,0.0070538793831405955,0.12039142347121297,0.13410766969742574,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,camouflage_feature_oracle,pmp,train_on_variant,f1_macro,0.3,True,oracle_privileged_training_diagnostic,False,0.7174531815578268,0.0006039508497571604,0.7168199074913527,0.7180227604746475,0.662812292558678,0.001279750220816777,0.6613420775315346,0.6636762855180998,0.05464088899914878,0.0015159207924268802,0.053143621973252696,0.05617479917594553,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,camouflage_feature_oracle,pmp,train_on_variant,roc_auc,0.3,True,oracle_privileged_training_diagnostic,False,0.8456095121048636,0.0008522075206968861,0.8451136884200032,0.8465935467722904,0.761130767995577,0.004637367196980213,0.7564727823026299,0.7657472379420133,0.08447874410928652,0.004704768957386008,0.07937406318028405,0.08864090611737323,3,5,2,split_bootstrap_over_split_means
