split_regime_id,train_size,val_size,test_size,dataset_id,scenario_id,model_id,protocol,metric,oracle_labels,claim_scope,operational_ranking_eligible,robustness_auc_mean,robustness_auc_std,robustness_auc_ci_lower,robustness_auc_ci_upper,robustness_avg_metric_mean,robustness_avg_metric_std,robustness_avg_metric_ci_lower,robustness_avg_metric_ci_upper,n_splits,min_training_seeds_per_split,min_graph_seeds_per_split,ci_method
train40_val20_test40,0.4,0.2,0.4,yelpchi,camouflage_feature_oracle,sage,train_on_variant,roc_auc,True,oracle_privileged_training_diagnostic,False,0.21586399383323474,0.004607714093986056,0.21197571249629368,0.22095328638285738,0.7195466461107826,0.015359046979953448,0.7065857083209789,0.7365109546095244,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,camouflage_feature_oracle,secgfd,train_clean_eval_all,average_precision,True,oracle_shift_sensitivity_diagnostic,False,0.1217148553484429,0.00038626581586821213,0.12137518547286992,0.1221350291809891,0.4057161844948097,0.0012875527195607005,0.4045839515762332,0.4071167639366304,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,camouflage_feature_oracle,secgfd,train_clean_eval_all,f1_macro,True,oracle_shift_sensitivity_diagnostic,False,0.1960647125600886,0.0007441449124748513,0.1955638674414147,0.19691979806362467,0.6535490418669618,0.0024804830415829015,0.6518795581380489,0.656399326878749,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,camouflage_feature_oracle,secgfd,train_clean_eval_all,roc_auc,True,oracle_shift_sensitivity_diagnostic,False,0.22721667634848686,0.000747242417600952,0.2265909308586557,0.2280440422100999,0.7573889211616228,0.0024908080586698456,0.7553031028621856,0.7601468073669997,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,camouflage_feature_oracle,secgfd,train_on_variant,average_precision,True,oracle_privileged_training_diagnostic,False,0.12145535122017626,0.0015820854157438747,0.11975199865088182,0.12287881136365301,0.40485117073392085,0.0052736180524795345,0.3991733288362728,0.4095960378788434,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,camouflage_feature_oracle,secgfd,train_on_variant,f1_macro,True,oracle_privileged_training_diagnostic,False,0.19606231120565407,0.001399974050550955,0.1948816934323555,0.19760893259208814,0.6535410373521802,0.004666580168503164,0.6496056447745183,0.6586964419736272,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,camouflage_feature_oracle,secgfd,train_on_variant,roc_auc,True,oracle_privileged_training_diagnostic,False,0.22751231612441805,0.00187525305605551,0.22564890486180142,0.22939919078475243,0.7583743870813935,0.00625084352018519,0.7521630162060045,0.7646639692825082,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,camouflage_relation_oracle,mlp,train_clean_eval_all,average_precision,True,oracle_shift_sensitivity_diagnostic,False,0.12180549868178663,0.0017121537872984297,0.1199783797975608,0.12337304438410641,0.4060183289392887,0.005707179290994806,0.39992793265853593,0.41124348128035476,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,camouflage_relation_oracle,mlp,train_clean_eval_all,f1_macro,True,oracle_shift_sensitivity_diagnostic,False,0.19614978477138645,0.0012180005686728914,0.1950877531944566,0.19747929419319507,0.6538326159046215,0.0040600018955763,0.6502925106481886,0.6582643139773169,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,camouflage_relation_oracle,mlp,train_clean_eval_all,roc_auc,True,oracle_shift_sensitivity_diagnostic,False,0.2347115860088631,0.0013322178954308034,0.23392294268387862,0.2362497327455578,0.7823719533628771,0.004440726318102633,0.7797431422795956,0.7874991091518592,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,camouflage_relation_oracle,mlp,train_on_variant,average_precision,True,oracle_privileged_training_diagnostic,False,0.12180549868178663,0.0017121537872984297,0.1199783797975608,0.12337304438410641,0.4060183289392887,0.005707179290994806,0.39992793265853593,0.41124348128035476,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,camouflage_relation_oracle,mlp,train_on_variant,f1_macro,True,oracle_privileged_training_diagnostic,False,0.19614978477138645,0.0012180005686728914,0.1950877531944566,0.19747929419319507,0.6538326159046215,0.0040600018955763,0.6502925106481886,0.6582643139773169,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,camouflage_relation_oracle,mlp,train_on_variant,roc_auc,True,oracle_privileged_training_diagnostic,False,0.2347115860088631,0.0013322178954308034,0.23392294268387862,0.2362497327455578,0.7823719533628771,0.004440726318102633,0.7797431422795956,0.7874991091518592,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,camouflage_relation_oracle,pmp,train_clean_eval_all,average_precision,True,oracle_shift_sensitivity_diagnostic,False,0.16451690780313813,0.0010357121733649563,0.16333504473233976,0.1652662674530518,0.5483896926771272,0.0034523739112164945,0.5444501491077993,0.5508875581768394,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,camouflage_relation_oracle,pmp,train_clean_eval_all,f1_macro,True,oracle_shift_sensitivity_diagnostic,False,0.21427354920457964,0.0002760296777295177,0.21410128198776768,0.21459192274817415,0.7142451640152655,0.0009200989257649607,0.7136709399592256,0.7153064091605804,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,camouflage_relation_oracle,pmp,train_clean_eval_all,roc_auc,True,oracle_shift_sensitivity_diagnostic,False,0.2526956737222475,0.0003167466198916387,0.25240558900378024,0.2530336320302687,0.8423189124074916,0.0010558220663054033,0.8413519633459341,0.8434454401008956,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,camouflage_relation_oracle,pmp,train_on_variant,average_precision,True,oracle_privileged_training_diagnostic,False,0.1648093832846531,0.001577092213442247,0.1635062894694982,0.1665626015276927,0.5493646109488438,0.0052569740448075,0.5450209648983273,0.5552086717589757,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,camouflage_relation_oracle,pmp,train_on_variant,f1_macro,True,oracle_privileged_training_diagnostic,False,0.2148104910843005,0.0002485316803074067,0.21461199600582134,0.21508923172641894,0.7160349702810018,0.0008284389343579941,0.7153733200194047,0.7169641057547299,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,camouflage_relation_oracle,pmp,train_on_variant,roc_auc,True,oracle_privileged_training_diagnostic,False,0.25288449118898787,0.0001663624541130466,0.2527524714247358,0.2530713503678584,0.8429483039632929,0.0005545415137101113,0.8425082380824526,0.8435711678928612,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,camouflage_relation_oracle,sage,train_clean_eval_all,average_precision,True,oracle_shift_sensitivity_diagnostic,False,0.1186754576307878,0.007781637523672563,0.11372496071372307,0.12764480477623802,0.39558485876929256,0.02593879174557523,0.37908320237907683,0.42548268258746,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,camouflage_relation_oracle,sage,train_clean_eval_all,f1_macro,True,oracle_shift_sensitivity_diagnostic,False,0.19443493809136683,0.005448217282653321,0.1910145540782248,0.2007177443896734,0.6481164603045562,0.018160724275511065,0.6367151802607491,0.669059147965578,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,camouflage_relation_oracle,sage,train_clean_eval_all,roc_auc,True,oracle_shift_sensitivity_diagnostic,False,0.22911589333465512,0.006902642277229479,0.22476261338543635,0.2370746770008544,0.7637196444488504,0.02300880759076497,0.7492087112847878,0.7902489233361815,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,camouflage_relation_oracle,sage,train_on_variant,average_precision,True,oracle_privileged_training_diagnostic,False,0.11540754443079111,0.0013362274672103875,0.11409567959130167,0.11676686993147349,0.38469181476930375,0.004454091557368008,0.38031893197100547,0.38922289977157837,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,camouflage_relation_oracle,sage,train_on_variant,f1_macro,True,oracle_privileged_training_diagnostic,False,0.19260163290293253,0.0016246015367842636,0.19127246427601116,0.19441265222293644,0.6420054430097751,0.005415338455947554,0.6375748809200372,0.6480421740764548,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,camouflage_relation_oracle,sage,train_on_variant,roc_auc,True,oracle_privileged_training_diagnostic,False,0.22650829710114206,0.001596978776501519,0.22522305330863857,0.22829610566688033,0.7550276570038069,0.005323262588338464,0.7507435110287952,0.7609870188896014,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,camouflage_relation_oracle,secgfd,train_clean_eval_all,average_precision,True,oracle_shift_sensitivity_diagnostic,False,0.13715699128976896,0.0006824246561212133,0.13638530016473557,0.1376809419461116,0.45718997096589664,0.002274748853737298,0.4546176672157854,0.4589364731537054,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,camouflage_relation_oracle,secgfd,train_clean_eval_all,f1_macro,True,oracle_shift_sensitivity_diagnostic,False,0.20340745328806623,0.000654762492894586,0.20286760852334296,0.20413578557935455,0.6780248442935543,0.00218254164298195,0.6762253617444763,0.6804526185978487,3,5,2,split_bootstrap_over_split_means
train40_val20_test40,0.4,0.2,0.4,yelpchi,camouflage_relation_oracle,secgfd,train_clean_eval_all,roc_auc,True,oracle_shift_sensitivity_diagnostic,False,0.24120253414020673,0.00024450768345655083,0.24099637967295098,0.24147267201848846,0.8040084471340224,0.000815025611521795,0.8033212655765037,0.804908906728295,3,5,2,split_bootstrap_over_split_means
