dataset_id,split_id,scenario_id,model_id,protocol,metric,max_severity,oracle_labels,claim_scope,operational_ranking_eligible,clean_mean,clean_std,clean_ci_lower,clean_ci_upper,max_severity_mean,max_severity_std,max_severity_ci_lower,max_severity_ci_upper,drop_mean,drop_std,drop_ci_lower,drop_ci_upper,n_clean_runs,n_max_runs,n_paired_seed_cells,n_paired_training_seeds,n_graph_seeds,ci_method
yelpchi,r40_s0,heterophily_rewire_oracle,mlp,train_clean_eval_all,roc_auc,0.3,True,oracle_shift_sensitivity_diagnostic,False,0.7874991091518592,0.022067852245887656,0.7675594767377161,0.7977213104976402,0.7874991091518593,0.020805770625719925,0.7677351286479994,0.7977213104976403,0.0,0.0,0.0,0.0,5,10,10,5,2,paired_drop_crossed_training_graph_seed_bootstrap
yelpchi,r40_s0,heterophily_rewire_oracle,sage,train_clean_eval_all,roc_auc,0.3,True,oracle_shift_sensitivity_diagnostic,False,0.7924381403626047,0.005388672840876128,0.7876042649616755,0.7958081617124713,0.7677964268605101,0.008467958961165369,0.7612424332692811,0.7753392916623473,0.024641713502094587,0.005427281446073959,0.019686430267647003,0.02802559468639093,5,10,10,5,2,paired_drop_crossed_training_graph_seed_bootstrap
yelpchi,r40_s0,heterophily_rewire_oracle,pmp,train_clean_eval_all,roc_auc,0.3,True,oracle_shift_sensitivity_diagnostic,False,0.8465935467722904,0.0053034952490293285,0.8422065007904251,0.8503677868931181,0.7639185065459713,0.005513278810447245,0.7598256429160518,0.7684018594049172,0.08267504022631923,0.0073927872719346446,0.07661088448738976,0.08868084541202724,5,10,10,5,2,paired_drop_crossed_training_graph_seed_bootstrap
yelpchi,r40_s0,heterophily_rewire_oracle,secgfd,train_clean_eval_all,roc_auc,0.3,True,oracle_shift_sensitivity_diagnostic,False,0.8029645568206764,0.013371933367305845,0.792540278245698,0.8129117892532464,0.4882954380667128,0.04194369470000992,0.45596505299212536,0.5254839401517739,0.3146691187539636,0.03860417806828625,0.2831547262209288,0.3458949360380563,5,10,10,5,2,paired_drop_crossed_training_graph_seed_bootstrap
yelpchi,r40_s0,heterophily_rewire_oracle,mlp,train_clean_eval_all,average_precision,0.3,True,oracle_shift_sensitivity_diagnostic,False,0.41124348128035465,0.04204684441298214,0.3733650626072927,0.43209180460633795,0.41124348128035476,0.039642145082553835,0.3733650626072927,0.43209180460633795,0.0,0.0,0.0,0.0,5,10,10,5,2,paired_drop_crossed_training_graph_seed_bootstrap
yelpchi,r40_s0,heterophily_rewire_oracle,sage,train_clean_eval_all,average_precision,0.3,True,oracle_shift_sensitivity_diagnostic,False,0.4294401489071168,0.011108106651061444,0.4201066672355573,0.43704812868146553,0.38101497798839307,0.017356255293995856,0.3681635061617658,0.3971809327678611,0.04842517091872373,0.010317197311960506,0.038670376407853174,0.0544727165144656,5,10,10,5,2,paired_drop_crossed_training_graph_seed_bootstrap
yelpchi,r40_s0,heterophily_rewire_oracle,pmp,train_clean_eval_all,average_precision,0.3,True,oracle_shift_sensitivity_diagnostic,False,0.5573005662067334,0.018706383216090285,0.5437668293058349,0.5709124866038947,0.3857851693884138,0.014868325886676253,0.3727201419036119,0.39716136635868365,0.17151539681831965,0.023389034667468736,0.1559452388165795,0.1937062689881838,5,10,10,5,2,paired_drop_crossed_training_graph_seed_bootstrap
yelpchi,r40_s0,heterophily_rewire_oracle,secgfd,train_clean_eval_all,average_precision,0.3,True,oracle_shift_sensitivity_diagnostic,False,0.45104574600768627,0.028436244023018593,0.4290106928530847,0.47245757288471096,0.13703413000723025,0.014593567250075642,0.12721711664361218,0.15038013802272815,0.31401161600045596,0.021486330251549772,0.2965223059404679,0.33139085539041346,5,10,10,5,2,paired_drop_crossed_training_graph_seed_bootstrap
yelpchi,r40_s0,heterophily_rewire_oracle,mlp,train_clean_eval_all,f1_macro,0.3,True,oracle_shift_sensitivity_diagnostic,False,0.6582643139773169,0.01810777845313724,0.641941533044603,0.6672277752551701,0.6582643139773169,0.017072177248582662,0.641941533044603,0.6672114137952395,0.0,0.0,0.0,0.0,5,10,10,5,2,paired_drop_crossed_training_graph_seed_bootstrap
yelpchi,r40_s0,heterophily_rewire_oracle,sage,train_clean_eval_all,f1_macro,0.3,True,oracle_shift_sensitivity_diagnostic,False,0.6706504896075932,0.0034652203515956703,0.6679241139543695,0.6730677967397527,0.6483004284325192,0.005826892148782438,0.6440393121571378,0.6536186269274952,0.02235006117507411,0.004675670969818745,0.018057137814241165,0.025558820411913197,5,10,10,5,2,paired_drop_crossed_training_graph_seed_bootstrap
yelpchi,r40_s0,heterophily_rewire_oracle,pmp,train_clean_eval_all,f1_macro,0.3,True,oracle_shift_sensitivity_diagnostic,False,0.7180227604746475,0.0029944450782016835,0.7154590428620085,0.7203074887962327,0.6434537196910413,0.009778375653322645,0.6349522145295404,0.6503515581138417,0.07456904078360624,0.010544132031002806,0.06664797864978433,0.08345299846680512,5,10,10,5,2,paired_drop_crossed_training_graph_seed_bootstrap
yelpchi,r40_s0,heterophily_rewire_oracle,secgfd,train_clean_eval_all,f1_macro,0.3,True,oracle_shift_sensitivity_diagnostic,False,0.6783581022714416,0.013241632018800442,0.668478471402457,0.6884963763431516,0.4801065541664656,0.016866095629435033,0.467437453864139,0.49465258215502406,0.19825154810497606,0.00842057537904423,0.19125063578499496,0.20462604242529386,5,10,10,5,2,paired_drop_crossed_training_graph_seed_bootstrap
yelpchi,r40_s0,heterophily_rewire_nonoracle,mlp,train_clean_eval_all,roc_auc,0.3,False,non_oracle_controlled_stress,True,0.7874991091518592,0.022067852245887656,0.7675594767377161,0.7977213104976402,0.7874991091518593,0.020805770625719925,0.7677351286479994,0.7977213104976403,0.0,0.0,0.0,0.0,5,10,10,5,2,paired_drop_crossed_training_graph_seed_bootstrap
yelpchi,r40_s0,heterophily_rewire_nonoracle,sage,train_clean_eval_all,roc_auc,0.3,False,non_oracle_controlled_stress,True,0.7924381403626047,0.005388672840876128,0.7876042649616755,0.7958081617124713,0.786603210092671,0.003809186614821242,0.7830899968734564,0.7889908364478083,0.0058349302699336695,0.001335483767002539,0.004681723659668963,0.006871049719711543,5,10,10,5,2,paired_drop_crossed_training_graph_seed_bootstrap
yelpchi,r40_s0,heterophily_rewire_nonoracle,pmp,train_clean_eval_all,roc_auc,0.3,False,non_oracle_controlled_stress,True,0.8465935467722904,0.0053034952490293285,0.8422065007904251,0.8503677868931181,0.8148408356879673,0.006039190031681424,0.8103994289139391,0.8192857748594747,0.03175271108432315,0.005199129711547132,0.028399091820813495,0.03675671227872661,5,10,10,5,2,paired_drop_crossed_training_graph_seed_bootstrap
