dataset_id,split_id,scenario_id,severity,model_id,metric,oracle_labels,claim_scope,left_claim_scope,right_claim_scope,operational_ranking_eligible,left_protocol,right_protocol,contrast_definition,left_mean,right_mean,contrast_mean,contrast_std,contrast_ci_lower,contrast_ci_upper,n_pairs,n_training_seeds,n_graph_seeds,ci_method,source
yelpchi,r40_s0,heterophily_rewire_oracle,0.15,mlp,f1_macro,True,oracle_protocol_comparison_diagnostic,oracle_privileged_training_diagnostic,oracle_shift_sensitivity_diagnostic,False,train_on_variant,train_clean_eval_all,train_on_variant - train_clean_eval_all,0.6582643139773169,0.6582643139773169,0.0,0.0,0.0,0.0,10,5,2,paired_protocol_crossed_training_graph_seed_bootstrap,scenario
yelpchi,r40_s0,heterophily_rewire_oracle,0.15,sage,roc_auc,True,oracle_protocol_comparison_diagnostic,oracle_privileged_training_diagnostic,oracle_shift_sensitivity_diagnostic,False,train_on_variant,train_clean_eval_all,train_on_variant - train_clean_eval_all,0.834229109325265,0.7761940580714842,0.05803505125378063,0.043169211151848505,0.015402788173652704,0.07722299958382625,10,5,2,paired_protocol_crossed_training_graph_seed_bootstrap,scenario
yelpchi,r40_s0,heterophily_rewire_oracle,0.15,sage,average_precision,True,oracle_protocol_comparison_diagnostic,oracle_privileged_training_diagnostic,oracle_shift_sensitivity_diagnostic,False,train_on_variant,train_clean_eval_all,train_on_variant - train_clean_eval_all,0.49259268998435546,0.3962424770597984,0.09635021292455707,0.07587411886349205,0.020815251400921976,0.1289722130748791,10,5,2,paired_protocol_crossed_training_graph_seed_bootstrap,scenario
yelpchi,r40_s0,heterophily_rewire_oracle,0.15,sage,f1_macro,True,oracle_protocol_comparison_diagnostic,oracle_privileged_training_diagnostic,oracle_shift_sensitivity_diagnostic,False,train_on_variant,train_clean_eval_all,train_on_variant - train_clean_eval_all,0.697531217526411,0.6556981122836177,0.041833105242793364,0.033148022012109035,0.01104103361584608,0.05648751817576061,10,5,2,paired_protocol_crossed_training_graph_seed_bootstrap,scenario
yelpchi,r40_s0,heterophily_rewire_oracle,0.15,pmp,roc_auc,True,oracle_protocol_comparison_diagnostic,oracle_privileged_training_diagnostic,oracle_shift_sensitivity_diagnostic,False,train_on_variant,train_clean_eval_all,train_on_variant - train_clean_eval_all,0.877652182349278,0.7867666259417265,0.09088555640755151,0.005764717289210915,0.08657342980154764,0.09571095969974515,10,5,2,paired_protocol_crossed_training_graph_seed_bootstrap,scenario
yelpchi,r40_s0,heterophily_rewire_oracle,0.15,pmp,average_precision,True,oracle_protocol_comparison_diagnostic,oracle_privileged_training_diagnostic,oracle_shift_sensitivity_diagnostic,False,train_on_variant,train_clean_eval_all,train_on_variant - train_clean_eval_all,0.5853301246933489,0.4211991026597441,0.1641310220336048,0.01018613055102291,0.15579255726297278,0.17158498436675035,10,5,2,paired_protocol_crossed_training_graph_seed_bootstrap,scenario
yelpchi,r40_s0,heterophily_rewire_oracle,0.15,pmp,f1_macro,True,oracle_protocol_comparison_diagnostic,oracle_privileged_training_diagnostic,oracle_shift_sensitivity_diagnostic,False,train_on_variant,train_clean_eval_all,train_on_variant - train_clean_eval_all,0.7419356478426548,0.657955558259836,0.08398008958281877,0.008919218795106055,0.0764788371856601,0.09076139444718065,10,5,2,paired_protocol_crossed_training_graph_seed_bootstrap,scenario
yelpchi,r40_s0,heterophily_rewire_oracle,0.15,secgfd,roc_auc,True,oracle_protocol_comparison_diagnostic,oracle_privileged_training_diagnostic,oracle_shift_sensitivity_diagnostic,False,train_on_variant,train_clean_eval_all,train_on_variant - train_clean_eval_all,0.9978828970114761,0.6577673930715453,0.3401155039399308,0.02089767374951488,0.3215358807906082,0.3576126218437299,10,5,2,paired_protocol_crossed_training_graph_seed_bootstrap,scenario
yelpchi,r40_s0,heterophily_rewire_oracle,0.15,secgfd,average_precision,True,oracle_protocol_comparison_diagnostic,oracle_privileged_training_diagnostic,oracle_shift_sensitivity_diagnostic,False,train_on_variant,train_clean_eval_all,train_on_variant - train_clean_eval_all,0.9933336240305601,0.23983614201462583,0.7534974820159344,0.028875814796802426,0.7287908487204111,0.7769016541356255,10,5,2,paired_protocol_crossed_training_graph_seed_bootstrap,scenario
yelpchi,r40_s0,heterophily_rewire_oracle,0.15,secgfd,f1_macro,True,oracle_protocol_comparison_diagnostic,oracle_privileged_training_diagnostic,oracle_shift_sensitivity_diagnostic,False,train_on_variant,train_clean_eval_all,train_on_variant - train_clean_eval_all,0.9852905277793294,0.5658992456277577,0.4193912821515718,0.021236732599223394,0.4010529378537323,0.43688701875286995,10,5,2,paired_protocol_crossed_training_graph_seed_bootstrap,scenario
