split_regime_id,train_size,val_size,test_size,dataset_id,model_id,protocol,metric,worst_scenario_id,worst_severity,oracle_labels,claim_scope,operational_ranking_eligible,worst_mean,worst_std,worst_ci_lower,worst_ci_upper,clean_mean,clean_std,clean_ci_lower,clean_ci_upper,drop_from_clean_mean,drop_from_clean_std,drop_from_clean_ci_lower,drop_from_clean_ci_upper,retention_fraction_mean,retention_fraction_std,retention_fraction_ci_lower,retention_fraction_ci_upper,n_splits,min_runs_per_split,min_training_seeds_per_split,min_graph_seeds_per_split,ci_method,drop_ci_method,retention_ci_method,selection_method
train40_val20_test40,0.4,0.2,0.4,yelpchi,mlp,train_clean_eval_all,average_precision,camouflage_feature_oracle,0.3,True,oracle_shift_sensitivity_diagnostic,False,0.32150850593836605,0.0037117177159466286,0.31789541106302255,0.3253115521787414,0.4060183289392887,0.005707179290994764,0.39992793265853593,0.41124348128035465,0.08450982300092265,0.002153235373335272,0.08203252159551336,0.08593192910161324,0.7927873760554495,0.0027510225141224825,0.7906159496749461,0.7958810248718479,3,10,5,2,split_bootstrap_over_split_means,split_bootstrap_over_split_means,split_bootstrap_over_split_means,minimum_configured_nonzero_point_cross_split_mean
train40_val20_test40,0.4,0.2,0.4,yelpchi,mlp,train_clean_eval_all,f1_macro,camouflage_feature_oracle,0.3,True,oracle_shift_sensitivity_diagnostic,False,0.612861462917789,0.003347675365323874,0.6106823852106926,0.6167160778302229,0.6538326159046216,0.004060001895576253,0.6502925106481887,0.6582643139773169,0.040971152986832675,0.0011832137949400608,0.03961012543749608,0.0417550973759078,0.9374355184258821,0.0015514047874865336,0.936153940520188,0.9391602932496536,3,10,5,2,split_bootstrap_over_split_means,split_bootstrap_over_split_means,split_bootstrap_over_split_means,minimum_configured_nonzero_point_cross_split_mean
train40_val20_test40,0.4,0.2,0.4,yelpchi,mlp,train_clean_eval_all,roc_auc,camouflage_feature_oracle,0.3,True,oracle_shift_sensitivity_diagnostic,False,0.6986191190842602,0.003715105186521319,0.6955934947029311,0.7027655987509451,0.7823719533628771,0.004440726318102569,0.7797431422795956,0.7874991091518592,0.08375283427861689,0.0012281415947504864,0.08237534485827225,0.08473351040091405,0.8930690778653951,0.0012457861925536694,0.8921831523979078,0.8944935370520618,3,10,5,2,split_bootstrap_over_split_means,split_bootstrap_over_split_means,split_bootstrap_over_split_means,minimum_configured_nonzero_point_cross_split_mean
train40_val20_test40,0.4,0.2,0.4,yelpchi,mlp,train_on_variant,average_precision,camouflage_feature_oracle,0.3,True,oracle_privileged_training_diagnostic,False,0.31711153171297973,0.006091648597481776,0.3121636764024629,0.32391526635063866,0.4060183289392887,0.005707179290994764,0.39992793265853593,0.41124348128035465,0.08890679722630901,0.0023666256325264898,0.08732821492971603,0.09162792049313802,0.7850187004452973,0.006418303965546062,0.7807125568268972,0.7923955133609676,3,10,5,2,split_bootstrap_over_split_means,split_bootstrap_over_split_means,split_bootstrap_over_split_means,minimum_configured_nonzero_point_cross_split_mean
train40_val20_test40,0.4,0.2,0.4,yelpchi,mlp,train_on_variant,f1_macro,camouflage_feature_oracle,0.3,True,oracle_privileged_training_diagnostic,False,0.6110813415879256,0.0054833806516652005,0.6076117233032663,0.6174029551832622,0.6538326159046216,0.004060001895576253,0.6502925106481887,0.6582643139773169,0.04275127431669614,0.0023120868599460884,0.04086135879405477,0.045329299785092904,0.9349164136389502,0.003675925112438089,0.9310077362629027,0.9383039677014846,3,10,5,2,split_bootstrap_over_split_means,split_bootstrap_over_split_means,split_bootstrap_over_split_means,minimum_configured_nonzero_point_cross_split_mean
train40_val20_test40,0.4,0.2,0.4,yelpchi,mlp,train_on_variant,roc_auc,camouflage_feature_oracle,0.3,True,oracle_privileged_training_diagnostic,False,0.6951727499843744,0.005192756895691755,0.6915298182593569,0.7011187170910217,0.7823719533628771,0.004440726318102569,0.7797431422795956,0.7874991091518592,0.08719920337850266,0.0009319437702995454,0.08638039206083757,0.08821332402023856,0.8888617840597428,0.0017230976237280274,0.887290824806246,0.8907046806755673,3,10,5,2,split_bootstrap_over_split_means,split_bootstrap_over_split_means,split_bootstrap_over_split_means,minimum_configured_nonzero_point_cross_split_mean
train40_val20_test40,0.4,0.2,0.4,yelpchi,pmp,train_clean_eval_all,average_precision,heterophily_rewire_oracle,0.3,True,oracle_shift_sensitivity_diagnostic,False,0.38230728552681525,0.006017761515455681,0.3753585742593924,0.3857851693884138,0.5552613216133242,0.002669828395410064,0.5522394269132922,0.5573005662067334,0.17295403608650886,0.003440973522869273,0.17046585878730713,0.17688085265389977,0.6887064171431795,0.007974424079291833,0.6795113954438269,0.693728335058908,3,10,5,2,split_bootstrap_over_split_means,split_bootstrap_over_split_means,split_bootstrap_over_split_means,minimum_configured_nonzero_point_cross_split_mean
train40_val20_test40,0.4,0.2,0.4,yelpchi,pmp,train_clean_eval_all,f1_macro,heterophily_rewire_oracle,0.3,True,oracle_shift_sensitivity_diagnostic,False,0.6408251762797529,0.0024941769112149723,0.6384915969092365,0.6434537196910413,0.7174531815578268,0.0006039508497571604,0.7168199074913527,0.7180227604746475,0.07662800527807388,0.0022472998896480483,0.07456904078360624,0.07902527979824367,0.893207628638581,0.0031633075122992856,0.8898729494791248,0.89616587898013,3,10,5,2,split_bootstrap_over_split_means,split_bootstrap_over_split_means,split_bootstrap_over_split_means,minimum_configured_nonzero_point_cross_split_mean
train40_val20_test40,0.4,0.2,0.4,yelpchi,pmp,train_clean_eval_all,roc_auc,camouflage_feature_oracle,0.3,True,oracle_shift_sensitivity_diagnostic,False,0.7594849363772456,0.0021591560177487163,0.7570320884453091,0.7610981515996776,0.8456095121048636,0.0008522075206968861,0.8451136884200032,0.8465935467722904,0.08612457572761807,0.001730459613081608,0.08479673203554709,0.08808159997469418,0.8981502274128231,0.002078841271622047,0.895778551041254,0.8996569151334445,3,10,5,2,split_bootstrap_over_split_means,split_bootstrap_over_split_means,split_bootstrap_over_split_means,minimum_configured_nonzero_point_cross_split_mean
train40_val20_test40,0.4,0.2,0.4,yelpchi,pmp,train_on_variant,average_precision,camouflage_feature_oracle,0.3,True,oracle_privileged_training_diagnostic,False,0.42705899633532834,0.007633906837000019,0.42213154424794325,0.43585254824873393,0.5552613216133242,0.002669828395410064,0.5522394269132922,0.5573005662067334,0.1282023252779959,0.0070538793831405955,0.12039142347121297,0.13410766969742574,0.7694861754608313,0.01235428119643433,0.760353879131696,0.7835433265596633,3,10,5,2,split_bootstrap_over_split_means,split_bootstrap_over_split_means,split_bootstrap_over_split_means,minimum_configured_nonzero_point_cross_split_mean
