dataset_id,scenario_id,severity,model_id,protocol,metric,oracle_labels,claim_scope,operational_ranking_eligible,mean,std,ci_lower,ci_upper,n_splits,min_training_seeds_per_split,min_graph_seeds_per_split,ci_method,source
yelpchi,camouflage_feature_oracle,0.15,mlp,train_clean_eval_all,roc_auc,True,oracle_shift_sensitivity_diagnostic,False,0.7416447555341201,0.0,0.7416447555341201,0.7416447555341201,1,3,2,split_bootstrap_over_split_means,scenario
yelpchi,camouflage_feature_oracle,0.15,mlp,train_on_variant,average_precision,True,oracle_privileged_training_diagnostic,False,0.3569698934145437,0.0,0.3569698934145437,0.3569698934145437,1,3,2,split_bootstrap_over_split_means,scenario
yelpchi,camouflage_feature_oracle,0.15,mlp,train_on_variant,f1_macro,True,oracle_privileged_training_diagnostic,False,0.6345085909181479,0.0,0.6345085909181479,0.6345085909181479,1,3,2,split_bootstrap_over_split_means,scenario
yelpchi,camouflage_feature_oracle,0.15,mlp,train_on_variant,roc_auc,True,oracle_privileged_training_diagnostic,False,0.7389589258029258,0.0,0.7389589258029258,0.7389589258029258,1,3,2,split_bootstrap_over_split_means,scenario
yelpchi,camouflage_feature_oracle,0.15,pmp,train_clean_eval_all,average_precision,True,oracle_shift_sensitivity_diagnostic,False,0.5126851280227783,0.0,0.5126851280227783,0.5126851280227783,1,3,2,split_bootstrap_over_split_means,scenario
yelpchi,camouflage_feature_oracle,0.15,pmp,train_clean_eval_all,f1_macro,True,oracle_shift_sensitivity_diagnostic,False,0.6954209554808578,0.0,0.6954209554808578,0.6954209554808578,1,3,2,split_bootstrap_over_split_means,scenario
yelpchi,camouflage_feature_oracle,0.15,pmp,train_clean_eval_all,roc_auc,True,oracle_shift_sensitivity_diagnostic,False,0.8064787439187308,0.0,0.8064787439187308,0.8064787439187308,1,3,2,split_bootstrap_over_split_means,scenario
yelpchi,camouflage_feature_oracle,0.15,pmp,train_on_variant,average_precision,True,oracle_privileged_training_diagnostic,False,0.49981937268939675,0.0,0.49981937268939675,0.49981937268939675,1,3,2,split_bootstrap_over_split_means,scenario
yelpchi,camouflage_feature_oracle,0.15,pmp,train_on_variant,f1_macro,True,oracle_privileged_training_diagnostic,False,0.6957062171337126,0.0,0.6957062171337126,0.6957062171337126,1,3,2,split_bootstrap_over_split_means,scenario
yelpchi,camouflage_feature_oracle,0.15,pmp,train_on_variant,roc_auc,True,oracle_privileged_training_diagnostic,False,0.8020201799811781,0.0,0.8020201799811781,0.8020201799811781,1,3,2,split_bootstrap_over_split_means,scenario
yelpchi,camouflage_feature_oracle,0.15,sage,train_clean_eval_all,average_precision,True,oracle_shift_sensitivity_diagnostic,False,0.38522501241651613,0.0,0.38522501241651613,0.38522501241651613,1,3,2,split_bootstrap_over_split_means,scenario
yelpchi,camouflage_feature_oracle,0.15,sage,train_clean_eval_all,f1_macro,True,oracle_shift_sensitivity_diagnostic,False,0.6488096458499042,0.0,0.6488096458499042,0.6488096458499042,1,3,2,split_bootstrap_over_split_means,scenario
yelpchi,camouflage_feature_oracle,0.15,sage,train_clean_eval_all,roc_auc,True,oracle_shift_sensitivity_diagnostic,False,0.7512939787590044,0.0,0.7512939787590044,0.7512939787590044,1,3,2,split_bootstrap_over_split_means,scenario
yelpchi,camouflage_feature_oracle,0.15,sage,train_on_variant,average_precision,True,oracle_privileged_training_diagnostic,False,0.35444768943767896,0.0,0.35444768943767896,0.35444768943767896,1,3,2,split_bootstrap_over_split_means,scenario
