dataset_id,scenario_id,model_id,protocol,metric,oracle_labels,claim_scope,operational_ranking_eligible,robustness_auc_mean,robustness_auc_std,robustness_auc_ci_lower,robustness_auc_ci_upper,robustness_avg_metric_mean,robustness_avg_metric_std,robustness_avg_metric_ci_lower,robustness_avg_metric_ci_upper,n_splits,min_training_seeds_per_split,min_graph_seeds_per_split,ci_method
yelpchi,camouflage_feature_oracle,secgfd,train_clean_eval_all,average_precision,True,oracle_shift_sensitivity_diagnostic,False,0.1281046235711242,0.0,0.1281046235711242,0.1281046235711242,0.4270154119037474,0.0,0.4270154119037474,0.4270154119037474,1,3,2,split_bootstrap_over_split_means
yelpchi,camouflage_feature_oracle,secgfd,train_clean_eval_all,f1_macro,True,oracle_shift_sensitivity_diagnostic,False,0.20002763616285482,0.0,0.20002763616285482,0.20002763616285482,0.666758787209516,0.0,0.666758787209516,0.666758787209516,1,3,2,split_bootstrap_over_split_means
yelpchi,camouflage_feature_oracle,secgfd,train_clean_eval_all,roc_auc,True,oracle_shift_sensitivity_diagnostic,False,0.23077409355963482,0.0,0.23077409355963482,0.23077409355963482,0.7692469785321161,0.0,0.7692469785321161,0.7692469785321161,1,3,2,split_bootstrap_over_split_means
yelpchi,camouflage_feature_oracle,secgfd,train_on_variant,average_precision,True,oracle_privileged_training_diagnostic,False,0.12852752167983553,0.0,0.12852752167983553,0.12852752167983553,0.42842507226611853,0.0,0.42842507226611853,0.42842507226611853,1,3,2,split_bootstrap_over_split_means
yelpchi,camouflage_feature_oracle,secgfd,train_on_variant,f1_macro,True,oracle_privileged_training_diagnostic,False,0.20059021598314977,0.0,0.20059021598314977,0.20059021598314977,0.6686340532771659,0.0,0.6686340532771659,0.6686340532771659,1,3,2,split_bootstrap_over_split_means
yelpchi,camouflage_feature_oracle,secgfd,train_on_variant,roc_auc,True,oracle_privileged_training_diagnostic,False,0.2327657395537813,0.0,0.2327657395537813,0.2327657395537813,0.7758857985126043,0.0,0.7758857985126043,0.7758857985126043,1,3,2,split_bootstrap_over_split_means
yelpchi,camouflage_relation_oracle,mlp,train_clean_eval_all,average_precision,True,oracle_shift_sensitivity_diagnostic,False,0.11981393765084285,0.0,0.11981393765084285,0.11981393765084285,0.39937979216947617,0.0,0.39937979216947617,0.39937979216947617,1,3,2,split_bootstrap_over_split_means
yelpchi,camouflage_relation_oracle,mlp,train_clean_eval_all,f1_macro,True,oracle_shift_sensitivity_diagnostic,False,0.19595529927795677,0.0,0.19595529927795677,0.19595529927795677,0.6531843309265226,0.0,0.6531843309265226,0.6531843309265226,1,3,2,split_bootstrap_over_split_means
yelpchi,camouflage_relation_oracle,mlp,train_clean_eval_all,roc_auc,True,oracle_shift_sensitivity_diagnostic,False,0.23438119901680854,0.0,0.23438119901680854,0.23438119901680854,0.7812706633893618,0.0,0.7812706633893618,0.7812706633893618,1,3,2,split_bootstrap_over_split_means
yelpchi,camouflage_relation_oracle,mlp,train_on_variant,average_precision,True,oracle_privileged_training_diagnostic,False,0.11981393765084285,0.0,0.11981393765084285,0.11981393765084285,0.39937979216947617,0.0,0.39937979216947617,0.39937979216947617,1,3,2,split_bootstrap_over_split_means
yelpchi,camouflage_relation_oracle,mlp,train_on_variant,f1_macro,True,oracle_privileged_training_diagnostic,False,0.19595529927795677,0.0,0.19595529927795677,0.19595529927795677,0.6531843309265226,0.0,0.6531843309265226,0.6531843309265226,1,3,2,split_bootstrap_over_split_means
yelpchi,camouflage_relation_oracle,mlp,train_on_variant,roc_auc,True,oracle_privileged_training_diagnostic,False,0.23438119901680854,0.0,0.23438119901680854,0.23438119901680854,0.7812706633893618,0.0,0.7812706633893618,0.7812706633893618,1,3,2,split_bootstrap_over_split_means
yelpchi,camouflage_relation_oracle,pmp,train_clean_eval_all,average_precision,True,oracle_shift_sensitivity_diagnostic,False,0.16999389390129582,0.0,0.16999389390129582,0.16999389390129582,0.5666463130043194,0.0,0.5666463130043194,0.5666463130043194,1,3,2,split_bootstrap_over_split_means
yelpchi,camouflage_relation_oracle,pmp,train_clean_eval_all,f1_macro,True,oracle_shift_sensitivity_diagnostic,False,0.21560035901253793,0.0,0.21560035901253793,0.21560035901253793,0.7186678633751264,0.0,0.7186678633751264,0.7186678633751264,1,3,2,split_bootstrap_over_split_means
yelpchi,camouflage_relation_oracle,pmp,train_clean_eval_all,roc_auc,True,oracle_shift_sensitivity_diagnostic,False,0.2548043096338986,0.0,0.2548043096338986,0.2548043096338986,0.8493476987796619,0.0,0.8493476987796619,0.8493476987796619,1,3,2,split_bootstrap_over_split_means
yelpchi,camouflage_relation_oracle,pmp,train_on_variant,average_precision,True,oracle_privileged_training_diagnostic,False,0.16704338075824188,0.0,0.16704338075824188,0.16704338075824188,0.5568112691941397,0.0,0.5568112691941397,0.5568112691941397,1,3,2,split_bootstrap_over_split_means
yelpchi,camouflage_relation_oracle,pmp,train_on_variant,f1_macro,True,oracle_privileged_training_diagnostic,False,0.2156432413276493,0.0,0.2156432413276493,0.2156432413276493,0.7188108044254978,0.0,0.7188108044254978,0.7188108044254978,1,3,2,split_bootstrap_over_split_means
yelpchi,camouflage_relation_oracle,pmp,train_on_variant,roc_auc,True,oracle_privileged_training_diagnostic,False,0.2540902283034174,0.0,0.2540902283034174,0.2540902283034174,0.8469674276780578,0.0,0.8469674276780578,0.8469674276780578,1,3,2,split_bootstrap_over_split_means
yelpchi,camouflage_relation_oracle,sage,train_clean_eval_all,average_precision,True,oracle_shift_sensitivity_diagnostic,False,0.12808564521973564,0.0,0.12808564521973564,0.12808564521973564,0.42695215073245213,0.0,0.42695215073245213,0.42695215073245213,1,3,2,split_bootstrap_over_split_means
yelpchi,camouflage_relation_oracle,sage,train_clean_eval_all,f1_macro,True,oracle_shift_sensitivity_diagnostic,False,0.20089831332008146,0.0,0.20089831332008146,0.20089831332008146,0.6696610444002715,0.0,0.6696610444002715,0.6696610444002715,1,3,2,split_bootstrap_over_split_means
yelpchi,camouflage_relation_oracle,sage,train_clean_eval_all,roc_auc,True,oracle_shift_sensitivity_diagnostic,False,0.23726488174324403,0.0,0.23726488174324403,0.23726488174324403,0.7908829391441469,0.0,0.7908829391441469,0.7908829391441469,1,3,2,split_bootstrap_over_split_means
yelpchi,camouflage_relation_oracle,sage,train_on_variant,average_precision,True,oracle_privileged_training_diagnostic,False,0.11088419573220583,0.0,0.11088419573220583,0.11088419573220583,0.3696139857740195,0.0,0.3696139857740195,0.3696139857740195,1,3,2,split_bootstrap_over_split_means
yelpchi,camouflage_relation_oracle,sage,train_on_variant,f1_macro,True,oracle_privileged_training_diagnostic,False,0.19219394148746657,0.0,0.19219394148746657,0.19219394148746657,0.6406464716248886,0.0,0.6406464716248886,0.6406464716248886,1,3,2,split_bootstrap_over_split_means
yelpchi,camouflage_relation_oracle,sage,train_on_variant,roc_auc,True,oracle_privileged_training_diagnostic,False,0.22524909045953093,0.0,0.22524909045953093,0.22524909045953093,0.7508303015317698,0.0,0.7508303015317698,0.7508303015317698,1,3,2,split_bootstrap_over_split_means
yelpchi,camouflage_relation_oracle,secgfd,train_clean_eval_all,average_precision,True,oracle_shift_sensitivity_diagnostic,False,0.14272364750505392,0.0,0.14272364750505392,0.14272364750505392,0.4757454916835131,0.0,0.4757454916835131,0.4757454916835131,1,3,2,split_bootstrap_over_split_means
yelpchi,camouflage_relation_oracle,secgfd,train_clean_eval_all,f1_macro,True,oracle_shift_sensitivity_diagnostic,False,0.20698319168127766,0.0,0.20698319168127766,0.20698319168127766,0.6899439722709255,0.0,0.6899439722709255,0.6899439722709255,1,3,2,split_bootstrap_over_split_means
yelpchi,camouflage_relation_oracle,secgfd,train_clean_eval_all,roc_auc,True,oracle_shift_sensitivity_diagnostic,False,0.24426034983916142,0.0,0.24426034983916142,0.24426034983916142,0.8142011661305381,0.0,0.8142011661305381,0.8142011661305381,1,3,2,split_bootstrap_over_split_means
yelpchi,camouflage_relation_oracle,secgfd,train_on_variant,average_precision,True,oracle_privileged_training_diagnostic,False,0.1412029563207519,0.0,0.1412029563207519,0.1412029563207519,0.470676521069173,0.0,0.470676521069173,0.470676521069173,1,3,2,split_bootstrap_over_split_means
yelpchi,camouflage_relation_oracle,secgfd,train_on_variant,f1_macro,True,oracle_privileged_training_diagnostic,False,0.20666968029572672,0.0,0.20666968029572672,0.20666968029572672,0.6888989343190891,0.0,0.6888989343190891,0.6888989343190891,1,3,2,split_bootstrap_over_split_means
