dataset_id,split_id,scenario_id,severity,protocol,audit_metric,audit_metric_label,audit_metric_unit,oracle_labels,claim_scope,operational_ranking_eligible,graph_view_mode,mean,std,ci_lower,ci_upper,n_graphs,n_graph_seeds,ci_method,source
yelpchi,s0,camouflage_relation_oracle,0.15,train_on_variant,fraud_to_normal_neighbor_ratio_after,Fraud-to-normal neighbor ratio after,,True,oracle_privileged_training_diagnostic,False,heterograph_aware_generation,0.8224133516465998,0.0020511574511682747,0.8209629643035974,0.8238637389896022,2,2,graph_seed_bootstrap,scenario
yelpchi,s0,camouflage_relation_oracle,0.15,train_on_variant,fraud_to_normal_neighbor_ratio_before,Fraud-to-normal neighbor ratio before,,True,oracle_privileged_training_diagnostic,False,heterograph_aware_generation,0.8152660609767771,0.0020738417648886727,0.8137996334017165,0.8167324885518378,2,2,graph_seed_bootstrap,scenario
yelpchi,s0,camouflage_relation_oracle,0.15,train_on_variant,fraud_to_normal_neighbor_ratio_shift,Fraud-to-normal neighbor ratio shift,,True,oracle_privileged_training_diagnostic,False,heterograph_aware_generation,0.00714729066982267,2.2684313720397965e-05,0.007131250437764414,0.007163330901880927,2,2,graph_seed_bootstrap,scenario
yelpchi,s0,camouflage_relation_oracle,0.15,train_on_variant,heterophily_ratio_after,Heterophily ratio after,,True,oracle_privileged_training_diagnostic,False,heterograph_aware_generation,0.2271004468202591,0.0,0.2271004468202591,0.2271004468202591,2,2,graph_seed_bootstrap,scenario
yelpchi,s0,camouflage_relation_oracle,0.15,train_on_variant,heterophily_ratio_before,Heterophily ratio before,,True,oracle_privileged_training_diagnostic,False,heterograph_aware_generation,0.2268800139427185,0.0,0.2268800139427185,0.2268800139427185,2,2,graph_seed_bootstrap,scenario
yelpchi,s0,camouflage_relation_oracle,0.15,train_on_variant,heterophily_ratio_shift,Heterophily ratio shift,,True,oracle_privileged_training_diagnostic,False,heterograph_aware_generation,0.00022043287754058838,0.0,0.00022043287754058838,0.00022043287754058838,2,2,graph_seed_bootstrap,scenario
yelpchi,s0,camouflage_relation_oracle,0.15,train_on_variant,realized_change,Realized change,nodes_changed,True,oracle_privileged_training_diagnostic,False,heterograph_aware_generation,1001.0,0.0,1001.0,1001.0,2,2,graph_seed_bootstrap,scenario
yelpchi,s0,camouflage_relation_oracle,0.15,train_on_variant,requested_change,Requested change,nodes_selected,True,oracle_privileged_training_diagnostic,False,heterograph_aware_generation,1001.0,0.0,1001.0,1001.0,2,2,graph_seed_bootstrap,scenario
yelpchi,s0,camouflage_relation_oracle,0.3,train_clean_eval_all,fraud_to_normal_neighbor_ratio_after,Fraud-to-normal neighbor ratio after,,True,oracle_shift_sensitivity_diagnostic,False,heterograph_aware_generation,0.8208797969339449,0.004362713573026136,0.8177948925820835,0.8239647012858062,2,2,graph_seed_bootstrap,scenario
yelpchi,s0,camouflage_relation_oracle,0.3,train_clean_eval_all,fraud_to_normal_neighbor_ratio_before,Fraud-to-normal neighbor ratio before,,True,oracle_shift_sensitivity_diagnostic,False,heterograph_aware_generation,0.813849299744419,0.004461187431521348,0.810694763859446,0.8170038356293919,2,2,graph_seed_bootstrap,scenario
yelpchi,s0,camouflage_relation_oracle,0.3,train_clean_eval_all,fraud_to_normal_neighbor_ratio_shift,Fraud-to-normal neighbor ratio shift,,True,oracle_shift_sensitivity_diagnostic,False,heterograph_aware_generation,0.007030497189525864,9.847385849521259e-05,0.0069608656564142946,0.007100128722637433,2,2,graph_seed_bootstrap,scenario
yelpchi,s0,camouflage_relation_oracle,0.3,train_clean_eval_all,heterophily_ratio_after,Heterophily ratio after,,True,oracle_shift_sensitivity_diagnostic,False,heterograph_aware_generation,0.22732102870941162,0.0,0.22732102870941162,0.22732102870941162,2,2,graph_seed_bootstrap,scenario
