dataset_id,scenario_id,model_id,protocol,metric,max_severity,oracle_labels,claim_scope,operational_ranking_eligible,clean_mean,clean_std,clean_ci_lower,clean_ci_upper,max_severity_mean,max_severity_std,max_severity_ci_lower,max_severity_ci_upper,drop_mean,drop_std,drop_ci_lower,drop_ci_upper,n_splits,min_paired_training_seeds_per_split,min_graph_seeds_per_split,ci_method
yelpchi,camouflage_feature_oracle,mlp,train_clean_eval_all,average_precision,0.3,True,oracle_shift_sensitivity_diagnostic,False,0.39937979216947617,0.0,0.39937979216947617,0.39937979216947617,0.31697205988075333,0.0,0.31697205988075333,0.31697205988075333,0.08240773228872281,0.0,0.08240773228872281,0.08240773228872281,1,3,2,split_bootstrap_over_split_means
yelpchi,camouflage_feature_oracle,mlp,train_clean_eval_all,f1_macro,0.3,True,oracle_shift_sensitivity_diagnostic,False,0.6531843309265226,0.0,0.6531843309265226,0.6531843309265226,0.6125329397078096,0.0,0.6125329397078096,0.6125329397078096,0.04065139121871301,0.0,0.04065139121871301,0.04065139121871301,1,3,2,split_bootstrap_over_split_means
yelpchi,camouflage_feature_oracle,mlp,train_clean_eval_all,roc_auc,0.3,True,oracle_shift_sensitivity_diagnostic,False,0.7812706633893618,0.0,0.7812706633893618,0.7812706633893618,0.6986283487315084,0.0,0.6986283487315084,0.6986283487315084,0.08264231465785332,0.0,0.08264231465785332,0.08264231465785332,1,3,2,split_bootstrap_over_split_means
yelpchi,camouflage_feature_oracle,mlp,train_on_variant,average_precision,0.3,True,oracle_privileged_training_diagnostic,False,0.39937979216947617,0.0,0.39937979216947617,0.39937979216947617,0.3213149900893049,0.0,0.3213149900893049,0.3213149900893049,0.0780648020801712,0.0,0.0780648020801712,0.0780648020801712,1,3,2,split_bootstrap_over_split_means
yelpchi,camouflage_feature_oracle,mlp,train_on_variant,f1_macro,0.3,True,oracle_privileged_training_diagnostic,False,0.6531843309265226,0.0,0.6531843309265226,0.6531843309265226,0.6165957513076381,0.0,0.6165957513076381,0.6165957513076381,0.0365885796188846,0.0,0.0365885796188846,0.0365885796188846,1,3,2,split_bootstrap_over_split_means
yelpchi,camouflage_feature_oracle,mlp,train_on_variant,roc_auc,0.3,True,oracle_privileged_training_diagnostic,False,0.7812706633893618,0.0,0.7812706633893618,0.7812706633893618,0.6998875669454118,0.0,0.6998875669454118,0.6998875669454118,0.08138309644395016,0.0,0.08138309644395016,0.08138309644395016,1,3,2,split_bootstrap_over_split_means
yelpchi,camouflage_feature_oracle,pmp,train_clean_eval_all,average_precision,0.3,True,oracle_shift_sensitivity_diagnostic,False,0.5677252637869848,0.0,0.5677252637869848,0.5677252637869848,0.4471068248245944,0.0,0.4471068248245944,0.4471068248245944,0.1206184389623904,0.0,0.1206184389623904,0.1206184389623904,1,3,2,split_bootstrap_over_split_means
yelpchi,camouflage_feature_oracle,pmp,train_clean_eval_all,f1_macro,0.3,True,oracle_shift_sensitivity_diagnostic,False,0.719663923941368,0.0,0.719663923941368,0.719663923941368,0.665228898659338,0.0,0.665228898659338,0.665228898659338,0.054435025282030015,0.0,0.054435025282030015,0.054435025282030015,1,3,2,split_bootstrap_over_split_means
yelpchi,camouflage_feature_oracle,pmp,train_clean_eval_all,roc_auc,0.3,True,oracle_shift_sensitivity_diagnostic,False,0.849193776874713,0.0,0.849193776874713,0.849193776874713,0.7631364609757063,0.0,0.7631364609757063,0.7631364609757063,0.08605731589900645,0.0,0.08605731589900645,0.08605731589900645,1,3,2,split_bootstrap_over_split_means
yelpchi,camouflage_feature_oracle,pmp,train_on_variant,average_precision,0.3,True,oracle_privileged_training_diagnostic,False,0.5677252637869848,0.0,0.5677252637869848,0.5677252637869848,0.41739097019771404,0.0,0.41739097019771404,0.41739097019771404,0.15033429358927083,0.0,0.15033429358927083,0.15033429358927083,1,3,2,split_bootstrap_over_split_means
yelpchi,camouflage_feature_oracle,pmp,train_on_variant,f1_macro,0.3,True,oracle_privileged_training_diagnostic,False,0.719663923941368,0.0,0.719663923941368,0.719663923941368,0.6612018980252039,0.0,0.6612018980252039,0.6612018980252039,0.0584620259161641,0.0,0.0584620259161641,0.0584620259161641,1,3,2,split_bootstrap_over_split_means
yelpchi,camouflage_feature_oracle,pmp,train_on_variant,roc_auc,0.3,True,oracle_privileged_training_diagnostic,False,0.849193776874713,0.0,0.849193776874713,0.849193776874713,0.759798136590236,0.0,0.759798136590236,0.759798136590236,0.08939564028447684,0.0,0.08939564028447684,0.08939564028447684,1,3,2,split_bootstrap_over_split_means
yelpchi,camouflage_feature_oracle,sage,train_clean_eval_all,average_precision,0.3,True,oracle_shift_sensitivity_diagnostic,False,0.42708999760200883,0.0,0.42708999760200883,0.42708999760200883,0.3351581222076212,0.0,0.3351581222076212,0.3351581222076212,0.09193187539438763,0.0,0.09193187539438763,0.09193187539438763,1,3,2,split_bootstrap_over_split_means
yelpchi,camouflage_feature_oracle,sage,train_clean_eval_all,f1_macro,0.3,True,oracle_shift_sensitivity_diagnostic,False,0.6697122615898071,0.0,0.6697122615898071,0.6697122615898071,0.6249419543574873,0.0,0.6249419543574873,0.6249419543574873,0.044770307232319784,0.0,0.044770307232319784,0.044770307232319784,1,3,2,split_bootstrap_over_split_means
yelpchi,camouflage_feature_oracle,sage,train_clean_eval_all,roc_auc,0.3,True,oracle_shift_sensitivity_diagnostic,False,0.7909852512071072,0.0,0.7909852512071072,0.7909852512071072,0.7072266609538053,0.0,0.7072266609538053,0.7072266609538053,0.08375859025330194,0.0,0.08375859025330194,0.08375859025330194,1,3,2,split_bootstrap_over_split_means
yelpchi,camouflage_feature_oracle,sage,train_on_variant,average_precision,0.3,True,oracle_privileged_training_diagnostic,False,0.42954172678053837,0.0,0.42954172678053837,0.42954172678053837,0.31190344316894864,0.0,0.31190344316894864,0.31190344316894864,0.11763828361158978,0.0,0.11763828361158978,0.11763828361158978,1,3,2,split_bootstrap_over_split_means
yelpchi,camouflage_feature_oracle,sage,train_on_variant,f1_macro,0.3,True,oracle_privileged_training_diagnostic,False,0.6708279503970965,0.0,0.6708279503970965,0.6708279503970965,0.6118221074520379,0.0,0.6118221074520379,0.6118221074520379,0.059005842945058486,0.0,0.059005842945058486,0.059005842945058486,1,3,2,split_bootstrap_over_split_means
yelpchi,camouflage_feature_oracle,sage,train_on_variant,roc_auc,0.3,True,oracle_privileged_training_diagnostic,False,0.7917030310560143,0.0,0.7917030310560143,0.7917030310560143,0.6874635859867588,0.0,0.6874635859867588,0.6874635859867588,0.1042394450692556,0.0,0.1042394450692556,0.1042394450692556,1,3,2,split_bootstrap_over_split_means
yelpchi,camouflage_feature_oracle,secgfd,train_clean_eval_all,average_precision,0.3,True,oracle_shift_sensitivity_diagnostic,False,0.47551589125343435,0.0,0.47551589125343435,0.47551589125343435,0.3732428030586242,0.0,0.3732428030586242,0.3732428030586242,0.10227308819481018,0.0,0.10227308819481018,0.10227308819481018,1,3,2,split_bootstrap_over_split_means
yelpchi,camouflage_feature_oracle,secgfd,train_clean_eval_all,f1_macro,0.3,True,oracle_shift_sensitivity_diagnostic,False,0.6896884499828166,0.0,0.6896884499828166,0.6896884499828166,0.6424996958312884,0.0,0.6424996958312884,0.6424996958312884,0.047188754151528255,0.0,0.047188754151528255,0.047188754151528255,1,3,2,split_bootstrap_over_split_means
yelpchi,camouflage_feature_oracle,secgfd,train_clean_eval_all,roc_auc,0.3,True,oracle_shift_sensitivity_diagnostic,False,0.8140815809826377,0.0,0.8140815809826377,0.8140815809826377,0.7236584740079414,0.0,0.7236584740079414,0.7236584740079414,0.09042310697469626,0.0,0.09042310697469626,0.09042310697469626,1,3,2,split_bootstrap_over_split_means
yelpchi,camouflage_feature_oracle,secgfd,train_on_variant,average_precision,0.3,True,oracle_privileged_training_diagnostic,False,0.4709483353668929,0.0,0.4709483353668929,0.4709483353668929,0.3936440073403322,0.0,0.3936440073403322,0.3936440073403322,0.07730432802656065,0.0,0.07730432802656065,0.07730432802656065,1,3,2,split_bootstrap_over_split_means
yelpchi,camouflage_feature_oracle,secgfd,train_on_variant,f1_macro,0.3,True,oracle_privileged_training_diagnostic,False,0.687730212869523,0.0,0.687730212869523,0.687730212869523,0.6512861378957135,0.0,0.6512861378957135,0.6512861378957135,0.03644407497380928,0.0,0.03644407497380928,0.03644407497380928,1,3,2,split_bootstrap_over_split_means
yelpchi,camouflage_feature_oracle,secgfd,train_on_variant,roc_auc,0.3,True,oracle_privileged_training_diagnostic,False,0.8125170309203386,0.0,0.8125170309203386,0.8125170309203386,0.7479654779195428,0.0,0.7479654779195428,0.7479654779195428,0.06455155300079578,0.0,0.06455155300079578,0.06455155300079578,1,3,2,split_bootstrap_over_split_means
yelpchi,camouflage_relation_oracle,mlp,train_clean_eval_all,average_precision,0.3,True,oracle_shift_sensitivity_diagnostic,False,0.39937979216947617,0.0,0.39937979216947617,0.39937979216947617,0.39937979216947617,0.0,0.39937979216947617,0.39937979216947617,0.0,0.0,0.0,0.0,1,3,2,split_bootstrap_over_split_means
yelpchi,camouflage_relation_oracle,mlp,train_clean_eval_all,f1_macro,0.3,True,oracle_shift_sensitivity_diagnostic,False,0.6531843309265226,0.0,0.6531843309265226,0.6531843309265226,0.6531843309265226,0.0,0.6531843309265226,0.6531843309265226,0.0,0.0,0.0,0.0,1,3,2,split_bootstrap_over_split_means
yelpchi,camouflage_relation_oracle,mlp,train_clean_eval_all,roc_auc,0.3,True,oracle_shift_sensitivity_diagnostic,False,0.7812706633893618,0.0,0.7812706633893618,0.7812706633893618,0.7812706633893618,0.0,0.7812706633893618,0.7812706633893618,0.0,0.0,0.0,0.0,1,3,2,split_bootstrap_over_split_means
yelpchi,camouflage_relation_oracle,mlp,train_on_variant,average_precision,0.3,True,oracle_privileged_training_diagnostic,False,0.39937979216947617,0.0,0.39937979216947617,0.39937979216947617,0.39937979216947617,0.0,0.39937979216947617,0.39937979216947617,0.0,0.0,0.0,0.0,1,3,2,split_bootstrap_over_split_means
yelpchi,camouflage_relation_oracle,mlp,train_on_variant,f1_macro,0.3,True,oracle_privileged_training_diagnostic,False,0.6531843309265226,0.0,0.6531843309265226,0.6531843309265226,0.6531843309265226,0.0,0.6531843309265226,0.6531843309265226,0.0,0.0,0.0,0.0,1,3,2,split_bootstrap_over_split_means
yelpchi,camouflage_relation_oracle,mlp,train_on_variant,roc_auc,0.3,True,oracle_privileged_training_diagnostic,False,0.7812706633893618,0.0,0.7812706633893618,0.7812706633893618,0.7812706633893618,0.0,0.7812706633893618,0.7812706633893618,0.0,0.0,0.0,0.0,1,3,2,split_bootstrap_over_split_means
yelpchi,camouflage_relation_oracle,pmp,train_clean_eval_all,average_precision,0.3,True,oracle_shift_sensitivity_diagnostic,False,0.5677252637869848,0.0,0.5677252637869848,0.5677252637869848,0.5684362323347804,0.0,0.5684362323347804,0.5684362323347804,-0.0007109685477954911,0.0,-0.0007109685477954911,-0.0007109685477954911,1,3,2,split_bootstrap_over_split_means
yelpchi,camouflage_relation_oracle,pmp,train_clean_eval_all,f1_macro,0.3,True,oracle_shift_sensitivity_diagnostic,False,0.719663923941368,0.0,0.719663923941368,0.719663923941368,0.7191034909928123,0.0,0.7191034909928123,0.7191034909928123,0.0005604329485555856,0.0,0.0005604329485555856,0.0005604329485555856,1,3,2,split_bootstrap_over_split_means
yelpchi,camouflage_relation_oracle,pmp,train_clean_eval_all,roc_auc,0.3,True,oracle_shift_sensitivity_diagnostic,False,0.849193776874713,0.0,0.849193776874713,0.849193776874713,0.8499097881280463,0.0,0.8499097881280463,0.8499097881280463,-0.0007160112533334817,0.0,-0.0007160112533334817,-0.0007160112533334817,1,3,2,split_bootstrap_over_split_means
yelpchi,camouflage_relation_oracle,pmp,train_on_variant,average_precision,0.3,True,oracle_privileged_training_diagnostic,False,0.5677252637869848,0.0,0.5677252637869848,0.5677252637869848,0.5490791677585565,0.0,0.5490791677585565,0.5490791677585565,0.01864609602842839,0.0,0.01864609602842839,0.01864609602842839,1,3,2,split_bootstrap_over_split_means
