dataset_id,split_id,scenario_id,severity,model_id,protocol,metric,oracle_labels,claim_scope,operational_ranking_eligible,mean,std,ci_lower,ci_upper,n_runs,n_training_seeds,n_graph_seeds,n_seed_cells,ci_method,source
yelpchi,s0,heterophily_rewire_oracle,0.3,secgfd,train_clean_eval_all,average_precision,True,oracle_shift_sensitivity_diagnostic,False,0.15700423739924596,0.017027602524057685,0.1358713352038838,0.17280940721146995,6,3,2,6,crossed_training_graph_seed_bootstrap,scenario
yelpchi,s0,heterophily_rewire_oracle,0.0,mlp,train_clean_eval_all,f1_macro,True,oracle_shift_sensitivity_diagnostic,False,0.6531843309265226,0.023559940421078222,0.6259796960386661,0.6668275520202774,3,3,1,3,crossed_training_graph_seed_bootstrap,clean
yelpchi,s0,heterophily_rewire_oracle,0.15,mlp,train_clean_eval_all,f1_macro,True,oracle_shift_sensitivity_diagnostic,False,0.6531843309265226,0.02107265133095037,0.625979696038666,0.6668275520202772,6,3,2,6,crossed_training_graph_seed_bootstrap,scenario
yelpchi,s0,heterophily_rewire_oracle,0.3,mlp,train_clean_eval_all,f1_macro,True,oracle_shift_sensitivity_diagnostic,False,0.6531843309265226,0.02107265133095037,0.625979696038666,0.6668275520202772,6,3,2,6,crossed_training_graph_seed_bootstrap,scenario
yelpchi,s0,heterophily_rewire_oracle,0.0,sage,train_clean_eval_all,f1_macro,True,oracle_shift_sensitivity_diagnostic,False,0.6697122615898071,0.005042605823552887,0.6649585800899492,0.6750011046817957,3,3,1,3,crossed_training_graph_seed_bootstrap,clean
yelpchi,s0,heterophily_rewire_oracle,0.15,sage,train_clean_eval_all,f1_macro,True,oracle_shift_sensitivity_diagnostic,False,0.6555459599751057,0.005037298974402781,0.6493102216405849,0.6596424067932505,6,3,2,6,crossed_training_graph_seed_bootstrap,scenario
yelpchi,s0,heterophily_rewire_oracle,0.3,sage,train_clean_eval_all,f1_macro,True,oracle_shift_sensitivity_diagnostic,False,0.6492862676027501,0.007690726242581973,0.6411901792953487,0.6577673455095642,6,3,2,6,crossed_training_graph_seed_bootstrap,scenario
yelpchi,s0,heterophily_rewire_oracle,0.0,pmp,train_clean_eval_all,f1_macro,True,oracle_shift_sensitivity_diagnostic,False,0.719663923941368,0.002034369365771763,0.7181258231096347,0.7219706164124466,3,3,1,3,crossed_training_graph_seed_bootstrap,clean
yelpchi,s0,heterophily_rewire_oracle,0.15,pmp,train_clean_eval_all,f1_macro,True,oracle_shift_sensitivity_diagnostic,False,0.6569437365384474,0.011239357049601528,0.6453437505950924,0.6696388135669284,6,3,2,6,crossed_training_graph_seed_bootstrap,scenario
yelpchi,s0,heterophily_rewire_oracle,0.3,pmp,train_clean_eval_all,f1_macro,True,oracle_shift_sensitivity_diagnostic,False,0.6415382934075567,0.012233442569188402,0.6266699269309978,0.6532958165617678,6,3,2,6,crossed_training_graph_seed_bootstrap,scenario
