dataset_id,split_id,scenario_id,model_id,protocol,metric,oracle_labels,claim_scope,operational_ranking_eligible,robustness_auc_mean,robustness_auc_std,robustness_auc_ci_lower,robustness_auc_ci_upper,robustness_avg_metric_mean,robustness_avg_metric_std,robustness_avg_metric_ci_lower,robustness_avg_metric_ci_upper,min_n_runs_per_severity,n_paired_seed_cells,n_training_seeds,n_graph_seeds,ci_method
yelpchi,s0,heterophily_rewire_nonoracle,sage,train_clean_eval_all,average_precision,False,non_oracle_controlled_stress,True,0.12585669743151698,0.0033829106426810926,0.12150078987786152,0.12830268539839743,0.4195223247717233,0.01127636880893698,0.4050026329262051,0.427675617994658,3,6,3,2,paired_curve_crossed_training_graph_seed_bootstrap
yelpchi,s0,heterophily_rewire_nonoracle,pmp,train_clean_eval_all,average_precision,False,non_oracle_controlled_stress,True,0.1568456845715919,0.0024088929506836934,0.15404798716335988,0.1594028374392126,0.5228189485719731,0.008029643168945664,0.513493290544533,0.5313427914640422,3,6,3,2,paired_curve_crossed_training_graph_seed_bootstrap
yelpchi,s0,heterophily_rewire_nonoracle,secgfd,train_clean_eval_all,average_precision,False,non_oracle_controlled_stress,True,0.1398487202304678,0.0013975447336411087,0.13876021445004988,0.14151978584287142,0.46616240076822607,0.0046584824454703536,0.46253404816683297,0.4717326194762382,3,6,3,2,paired_curve_crossed_training_graph_seed_bootstrap
yelpchi,s0,heterophily_rewire_nonoracle,mlp,train_clean_eval_all,f1_macro,False,non_oracle_controlled_stress,True,0.19595529927795677,0.006321795399285108,0.18779390881159982,0.20004826560608316,0.6531843309265226,0.02107265133095037,0.625979696038666,0.6668275520202772,3,6,3,2,paired_curve_crossed_training_graph_seed_bootstrap
yelpchi,s0,heterophily_rewire_nonoracle,sage,train_clean_eval_all,f1_macro,False,non_oracle_controlled_stress,True,0.1995584818975248,0.0010889882001724122,0.1983741946420902,0.20079222498115912,0.665194939658416,0.0036299606672413848,0.661247315473634,0.6693074166038637,3,6,3,2,paired_curve_crossed_training_graph_seed_bootstrap
yelpchi,s0,heterophily_rewire_nonoracle,pmp,train_clean_eval_all,f1_macro,False,non_oracle_controlled_stress,True,0.210081091221513,0.001252237171730584,0.20861206201673502,0.21146212137217635,0.7002703040717102,0.004174123905768628,0.6953735400557833,0.7048737379072546,3,6,3,2,paired_curve_crossed_training_graph_seed_bootstrap
yelpchi,s0,heterophily_rewire_nonoracle,secgfd,train_clean_eval_all,f1_macro,False,non_oracle_controlled_stress,True,0.20597259450906283,0.0012888484710346898,0.20508298965822355,0.20747513806487952,0.6865753150302094,0.004296161570115641,0.6836099655274118,0.6915837935495984,3,6,3,2,paired_curve_crossed_training_graph_seed_bootstrap
yelpchi,s0,camouflage_feature_oracle,mlp,train_clean_eval_all,roc_auc,True,oracle_shift_sensitivity_diagnostic,False,0.2222391392391833,0.006719568000993219,0.21472782004886606,0.22793656477618848,0.7407971307972776,0.022398560003310728,0.715759400162887,0.7597885492539614,3,6,3,2,paired_curve_crossed_training_graph_seed_bootstrap
yelpchi,s0,camouflage_feature_oracle,sage,train_clean_eval_all,roc_auc,True,oracle_shift_sensitivity_diagnostic,False,0.22505999022591908,0.0021998502756570668,0.2225324227039175,0.22758529340964836,0.7501999674197304,0.0073328342521902425,0.7417747423463917,0.7586176446988279,3,6,3,2,paired_curve_crossed_training_graph_seed_bootstrap
yelpchi,s0,camouflage_feature_oracle,pmp,train_clean_eval_all,roc_auc,True,oracle_shift_sensitivity_diagnostic,False,0.24189657942659107,0.0013312476826325883,0.24059496662701838,0.2433181896493736,0.8063219314219702,0.004437492275441972,0.8019832220900612,0.8110606321645788,3,6,3,2,paired_curve_crossed_training_graph_seed_bootstrap
