dataset_id,scenario_id,severity,protocol,audit_metric,audit_metric_label,audit_metric_unit,oracle_labels,claim_scope,operational_ranking_eligible,graph_view_mode,mean,std,ci_lower,ci_upper,n_splits,min_graph_seeds_per_split,ci_method,source
yelpchi,camouflage_relation_oracle,0.15,train_clean_eval_all,realized_change,Realized change,nodes_changed,True,oracle_shift_sensitivity_diagnostic,False,heterograph_aware_generation,1001.0,0.0,1001.0,1001.0,1,2,split_bootstrap_over_split_means,scenario
yelpchi,camouflage_relation_oracle,0.15,train_clean_eval_all,requested_change,Requested change,nodes_selected,True,oracle_shift_sensitivity_diagnostic,False,heterograph_aware_generation,1001.0,0.0,1001.0,1001.0,1,2,split_bootstrap_over_split_means,scenario
yelpchi,camouflage_relation_oracle,0.15,train_on_variant,fraud_to_normal_neighbor_ratio_after,Fraud-to-normal neighbor ratio after,,True,oracle_privileged_training_diagnostic,False,heterograph_aware_generation,0.8224133516465998,0.0,0.8224133516465998,0.8224133516465998,1,2,split_bootstrap_over_split_means,scenario
yelpchi,camouflage_relation_oracle,0.15,train_on_variant,fraud_to_normal_neighbor_ratio_before,Fraud-to-normal neighbor ratio before,,True,oracle_privileged_training_diagnostic,False,heterograph_aware_generation,0.8152660609767771,0.0,0.8152660609767771,0.8152660609767771,1,2,split_bootstrap_over_split_means,scenario
yelpchi,camouflage_relation_oracle,0.15,train_on_variant,fraud_to_normal_neighbor_ratio_shift,Fraud-to-normal neighbor ratio shift,,True,oracle_privileged_training_diagnostic,False,heterograph_aware_generation,0.00714729066982267,0.0,0.00714729066982267,0.00714729066982267,1,2,split_bootstrap_over_split_means,scenario
yelpchi,camouflage_relation_oracle,0.15,train_on_variant,heterophily_ratio_after,Heterophily ratio after,,True,oracle_privileged_training_diagnostic,False,heterograph_aware_generation,0.2271004468202591,0.0,0.2271004468202591,0.2271004468202591,1,2,split_bootstrap_over_split_means,scenario
yelpchi,camouflage_relation_oracle,0.15,train_on_variant,heterophily_ratio_before,Heterophily ratio before,,True,oracle_privileged_training_diagnostic,False,heterograph_aware_generation,0.2268800139427185,0.0,0.2268800139427185,0.2268800139427185,1,2,split_bootstrap_over_split_means,scenario
yelpchi,camouflage_relation_oracle,0.15,train_on_variant,heterophily_ratio_shift,Heterophily ratio shift,,True,oracle_privileged_training_diagnostic,False,heterograph_aware_generation,0.00022043287754058838,0.0,0.00022043287754058838,0.00022043287754058838,1,2,split_bootstrap_over_split_means,scenario
yelpchi,camouflage_relation_oracle,0.15,train_on_variant,realized_change,Realized change,nodes_changed,True,oracle_privileged_training_diagnostic,False,heterograph_aware_generation,1001.0,0.0,1001.0,1001.0,1,2,split_bootstrap_over_split_means,scenario
yelpchi,camouflage_relation_oracle,0.15,train_on_variant,requested_change,Requested change,nodes_selected,True,oracle_privileged_training_diagnostic,False,heterograph_aware_generation,1001.0,0.0,1001.0,1001.0,1,2,split_bootstrap_over_split_means,scenario
