dataset_id,split_id,scenario_id,model_id,protocol,metric,max_severity,oracle_labels,claim_scope,operational_ranking_eligible,clean_mean,clean_std,clean_ci_lower,clean_ci_upper,max_severity_mean,max_severity_std,max_severity_ci_lower,max_severity_ci_upper,drop_mean,drop_std,drop_ci_lower,drop_ci_upper,n_clean_runs,n_max_runs,n_paired_seed_cells,n_paired_training_seeds,n_graph_seeds,ci_method
yelpchi,s0,heterophily_rewire_oracle,mlp,train_clean_eval_all,roc_auc,0.3,True,oracle_shift_sensitivity_diagnostic,False,0.7812706633893618,0.028782937533635766,0.7480379426991232,0.7982706898766113,0.7812706633893618,0.025744241966935887,0.7480379426991232,0.7982706898766113,0.0,0.0,0.0,0.0,3,6,6,3,2,paired_drop_crossed_training_graph_seed_bootstrap
yelpchi,s0,heterophily_rewire_oracle,sage,train_clean_eval_all,roc_auc,0.3,True,oracle_shift_sensitivity_diagnostic,False,0.7909852512071072,0.006877698660101521,0.7833396105573985,0.7966684137453198,0.7683475375178869,0.011475336772656988,0.7562384678040813,0.7817161112792236,0.022637713689220334,0.008968130406389274,0.011231618039379554,0.029657364798788333,3,6,6,3,2,paired_drop_crossed_training_graph_seed_bootstrap
yelpchi,s0,heterophily_rewire_oracle,pmp,train_clean_eval_all,roc_auc,0.3,True,oracle_shift_sensitivity_diagnostic,False,0.849193776874713,0.0038429465319576995,0.8450166598130114,0.8525792578539458,0.7634662296143456,0.004816420072303788,0.7598292865008273,0.7693960387841933,0.08572754726036723,0.008152316736435782,0.07562062102881811,0.09228712731106015,3,6,6,3,2,paired_drop_crossed_training_graph_seed_bootstrap
yelpchi,s0,heterophily_rewire_oracle,secgfd,train_clean_eval_all,roc_auc,0.3,True,oracle_shift_sensitivity_diagnostic,False,0.8140815809826377,0.0037577717102356746,0.8097653582219472,0.8166250675520142,0.523695677239589,0.034985991200479905,0.47887041599082886,0.5506472893063162,0.2903859037430486,0.03672619786574237,0.26520702786763545,0.3377546515611853,3,6,6,3,2,paired_drop_crossed_training_graph_seed_bootstrap
yelpchi,s0,heterophily_rewire_oracle,mlp,train_clean_eval_all,average_precision,0.3,True,oracle_shift_sensitivity_diagnostic,False,0.39937979216947617,0.05468471766479163,0.3362490943810395,0.43208732915537756,0.39937979216947617,0.04891149841154306,0.3362490943810395,0.4320873291553777,0.0,0.0,0.0,0.0,3,6,6,3,2,paired_drop_crossed_training_graph_seed_bootstrap
yelpchi,s0,heterophily_rewire_oracle,sage,train_clean_eval_all,average_precision,0.3,True,oracle_shift_sensitivity_diagnostic,False,0.42708999760200883,0.013371437924881189,0.4117790575340485,0.4364707756825262,0.38381625236041067,0.023114898308269405,0.3596493981762588,0.4109401374215171,0.04327374524159819,0.016587937023239338,0.0220800221679347,0.05572982269622298,3,6,6,3,2,paired_drop_crossed_training_graph_seed_bootstrap
yelpchi,s0,heterophily_rewire_oracle,pmp,train_clean_eval_all,average_precision,0.3,True,oracle_shift_sensitivity_diagnostic,False,0.5677252637869848,0.013443553198234745,0.5522038320561967,0.5756933208292596,0.3859081744555027,0.01818931858169678,0.36255159812859317,0.3991677939128088,0.1818170893314821,0.025770532210037944,0.1564939895757491,0.21314172270066645,3,6,6,3,2,paired_drop_crossed_training_graph_seed_bootstrap
yelpchi,s0,heterophily_rewire_oracle,secgfd,train_clean_eval_all,average_precision,0.3,True,oracle_shift_sensitivity_diagnostic,False,0.47551589125343435,0.000568780563377165,0.4751036963121557,0.4761648011302502,0.15700423739924596,0.017027602524057685,0.1358713352038838,0.17280940721146995,0.31851165385418845,0.016989471805166967,0.3022942891006858,0.33940784111401334,3,6,6,3,2,paired_drop_crossed_training_graph_seed_bootstrap
yelpchi,s0,heterophily_rewire_oracle,mlp,train_clean_eval_all,f1_macro,0.3,True,oracle_shift_sensitivity_diagnostic,False,0.6531843309265226,0.023559940421078222,0.6259796960386661,0.6668275520202774,0.6531843309265226,0.02107265133095037,0.625979696038666,0.6668275520202772,0.0,0.0,0.0,0.0,3,6,6,3,2,paired_drop_crossed_training_graph_seed_bootstrap
yelpchi,s0,heterophily_rewire_oracle,sage,train_clean_eval_all,f1_macro,0.3,True,oracle_shift_sensitivity_diagnostic,False,0.6697122615898071,0.005042605823552887,0.6649585800899492,0.6750011046817957,0.6492862676027501,0.007690726242581973,0.6411901792953487,0.6577673455095642,0.020425993987057117,0.007496016660963247,0.0114097544881121,0.02657839764165093,3,6,6,3,2,paired_drop_crossed_training_graph_seed_bootstrap
yelpchi,s0,heterophily_rewire_oracle,pmp,train_clean_eval_all,f1_macro,0.3,True,oracle_shift_sensitivity_diagnostic,False,0.719663923941368,0.002034369365771763,0.7181258231096347,0.7219706164124466,0.6415382934075567,0.012233442569188402,0.6266699269309978,0.6532958165617678,0.0781256305338112,0.011668829705319692,0.0655995157402548,0.09145589617863692,3,6,6,3,2,paired_drop_crossed_training_graph_seed_bootstrap
yelpchi,s0,heterophily_rewire_oracle,secgfd,train_clean_eval_all,f1_macro,0.3,True,oracle_shift_sensitivity_diagnostic,False,0.6896884499828166,0.004092481610386039,0.6872482798545348,0.6944131866758828,0.5030393890304601,0.012807564126497958,0.4865943951728735,0.5116824459959053,0.18664906095235653,0.011608592613646126,0.17556583385862945,0.20080948824515876,3,6,6,3,2,paired_drop_crossed_training_graph_seed_bootstrap
yelpchi,s0,heterophily_rewire_nonoracle,mlp,train_clean_eval_all,roc_auc,0.3,False,non_oracle_controlled_stress,True,0.7812706633893618,0.028782937533635766,0.7480379426991232,0.7982706898766113,0.7812706633893618,0.025744241966935887,0.7480379426991232,0.7982706898766113,0.0,0.0,0.0,0.0,3,6,6,3,2,paired_drop_crossed_training_graph_seed_bootstrap
yelpchi,s0,heterophily_rewire_nonoracle,sage,train_clean_eval_all,roc_auc,0.3,False,non_oracle_controlled_stress,True,0.7909852512071072,0.006877698660101521,0.7833396105573985,0.7966684137453198,0.7850275553939219,0.004625517142953006,0.7791936414213326,0.7890371679947132,0.005957695813185245,0.0015685811312468705,0.004145969136065963,0.007631245750606697,3,6,6,3,2,paired_drop_crossed_training_graph_seed_bootstrap
yelpchi,s0,heterophily_rewire_nonoracle,pmp,train_clean_eval_all,roc_auc,0.3,False,non_oracle_controlled_stress,True,0.849193776874713,0.0038429465319576995,0.8450166598130114,0.8525792578539458,0.8167873019554069,0.00553589520361139,0.8121867382533811,0.8229577294462755,0.03240647491930596,0.0071792488858487685,0.025835231268623637,0.04039251960056467,3,6,6,3,2,paired_drop_crossed_training_graph_seed_bootstrap
yelpchi,s0,heterophily_rewire_nonoracle,secgfd,train_clean_eval_all,roc_auc,0.3,False,non_oracle_controlled_stress,True,0.8140815809826377,0.0037577717102356746,0.8097653582219472,0.8166250675520142,0.8075255202584902,0.004678501223973726,0.8023891594357111,0.8125712202123249,0.006556060724147439,0.002875805059418117,0.0032830969616266525,0.009270281277440062,3,6,6,3,2,paired_drop_crossed_training_graph_seed_bootstrap
yelpchi,s0,heterophily_rewire_nonoracle,mlp,train_clean_eval_all,average_precision,0.3,False,non_oracle_controlled_stress,True,0.39937979216947617,0.05468471766479163,0.3362490943810395,0.43208732915537756,0.39937979216947617,0.04891149841154306,0.3362490943810395,0.4320873291553777,0.0,0.0,0.0,0.0,3,6,6,3,2,paired_drop_crossed_training_graph_seed_bootstrap
yelpchi,s0,heterophily_rewire_nonoracle,sage,train_clean_eval_all,average_precision,0.3,False,non_oracle_controlled_stress,True,0.42708999760200883,0.013371437924881189,0.4117790575340485,0.4364707756825262,0.41335217392118656,0.010805349074222316,0.3994190958457297,0.42082268042767107,0.013737823680822187,0.0016734839098204322,0.012269623455772668,0.015790868561106813,3,6,6,3,2,paired_drop_crossed_training_graph_seed_bootstrap
yelpchi,s0,heterophily_rewire_nonoracle,pmp,train_clean_eval_all,average_precision,0.3,False,non_oracle_controlled_stress,True,0.5677252637869848,0.013443553198234745,0.5522038320561967,0.5756933208292596,0.4894751373981389,0.00725939669077056,0.4823181663863821,0.4972203709356738,0.078250126388846,0.00791177050565123,0.06988566566981458,0.08542216185989461,3,6,6,3,2,paired_drop_crossed_training_graph_seed_bootstrap
