

=== attempt 1; GPU 0; 2026-07-13T15:08:08.769712+00:00 ===
[preflight] 21 variants x 5 seeds x 1 models = 105 runs total
[preflight] 0 already done, 105 remaining
[preflight] no estimate available
[preflight] 21 variants x 5 seeds x 1 models = 105 runs total
[preflight] 0 already done, 105 remaining
[preflight] no estimate available
[shift] [50/105] secgfd / heterophily_rewire_nonoracle / sev=0.3 / gs=0 / ts=2  ok  auc=0.809  0.2s
[shift] [50/105] ETA ~10s
[shift] [51/105] secgfd / heterophily_rewire_nonoracle / sev=0.3 / gs=1 / ts=2  ok  auc=0.809  0.2s
[shift] [52/105] secgfd / camouflage_feature_oracle / sev=0.15 / gs=0 / ts=2  ok  auc=0.779  0.2s
[shift] [53/105] secgfd / camouflage_feature_oracle / sev=0.15 / gs=1 / ts=2  ok  auc=0.766  0.2s
[shift] [54/105] secgfd / camouflage_feature_oracle / sev=0.3 / gs=0 / ts=2  ok  auc=0.727  0.2s
[shift] [55/105] secgfd / camouflage_feature_oracle / sev=0.3 / gs=1 / ts=2  ok  auc=0.714  0.2s
[shift] [56/105] secgfd / camouflage_relation_oracle / sev=0.15 / gs=0 / ts=2  ok  auc=0.819  0.2s
[shift] [57/105] secgfd / camouflage_relation_oracle / sev=0.15 / gs=1 / ts=2  ok  auc=0.818  0.2s
[shift] [58/105] secgfd / camouflage_relation_oracle / sev=0.3 / gs=0 / ts=2  ok  auc=0.822  0.2s
[shift] [59/105] secgfd / camouflage_relation_oracle / sev=0.3 / gs=1 / ts=2  ok  auc=0.822  0.2s
[shift] [60/105] secgfd / noise_edges_uniform / sev=0.1 / gs=0 / ts=2  ok  auc=0.814  0.2s
[shift] [60/105] ETA ~9s
[shift] [61/105] secgfd / noise_edges_uniform / sev=0.1 / gs=1 / ts=2  ok  auc=0.814  0.2s
[shift] [62/105] secgfd / noise_edges_uniform / sev=0.2 / gs=0 / ts=2  ok  auc=0.812  0.2s
[shift] [63/105] secgfd / noise_edges_uniform / sev=0.2 / gs=1 / ts=2  ok  auc=0.812  0.2s
[shift] [64/105] secgfd / clean / sev=0 / gs=717 / ts=3  ok  auc=0.798  4.5s
[shift] [65/105] secgfd / heterophily_rewire_oracle / sev=0.15 / gs=0 / ts=3  ok  auc=0.613  0.2s
[shift] [66/105] secgfd / heterophily_rewire_oracle / sev=0.15 / gs=1 / ts=3  ok  auc=0.613  0.2s
