experiment_name,dataset_id,split_id,scenario_id,severity,graph_seed,training_seed,model_id,protocol,status,oracle_labels,scenario_applied,graph_view_mode,scenario_family,scenario_method,severity_param,requested_severity,requested_change,requested_change_unit,realized_change,realized_change_unit,roc_auc,average_precision,f1_macro,base_graph_path,graph_path,variant_n_nodes,variant_n_edges,variant_heterophily_ratio,variant_pos_rate,heterophily_ratio_before,heterophily_ratio_after,mean_cosine_to_sampled_normal_before,mean_cosine_to_sampled_normal_after,fraud_to_normal_neighbor_ratio_before,fraud_to_normal_neighbor_ratio_after,n_added_edge_pairs_actual,n_rewired_edges_actual
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,camouflage_feature_oracle,0.15,0,0,mlp,train_clean_eval_all,ok,True,True,canonical,camouflage_feature,replace_fraud_features_with_normal_features,p_cam_feat,0.15,1001.0,nodes_selected,1001.0,nodes_changed,0.7174633318330244,0.3137279202887221,0.6137505990217774,/kaggle/working/gfd-robustness-v3-final-r5/graphs/base/yelpchi/s0/graph.bin,/kaggle/working/gfd-robustness-v3-final-r5/graphs/variants/yelpchi/s0/camouflage_feature_oracle/0.15/seed_0/graph.bin,45954,8051348,0.2268800139427185,0.14529746770858765,0.2268800139427185,0.2268800139427185,0.8398797512054443,1.0,,,,
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,camouflage_feature_oracle,0.15,0,0,mlp,train_on_variant,ok,True,True,canonical,camouflage_feature,replace_fraud_features_with_normal_features,p_cam_feat,0.15,1001.0,nodes_selected,1001.0,nodes_changed,0.7179208204644683,0.3168931249665909,0.6154555591922901,/kaggle/working/gfd-robustness-v3-final-r5/graphs/base/yelpchi/s0/graph.bin,/kaggle/working/gfd-robustness-v3-final-r5/graphs/variants/yelpchi/s0/camouflage_feature_oracle/0.15/seed_0/graph.bin,45954,8051348,0.2268800139427185,0.14529746770858765,0.2268800139427185,0.2268800139427185,0.8398797512054443,1.0,,,,
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,camouflage_feature_oracle,0.15,0,0,pmp,train_clean_eval_all,ok,True,True,canonical,camouflage_feature,replace_fraud_features_with_normal_features,p_cam_feat,0.15,1001.0,nodes_selected,1001.0,nodes_changed,0.8119577616978365,0.5241599412414694,0.6980323283131364,/kaggle/working/gfd-robustness-v3-final-r5/graphs/base/yelpchi/s0/graph.bin,/kaggle/working/gfd-robustness-v3-final-r5/graphs/variants/yelpchi/s0/camouflage_feature_oracle/0.15/seed_0/graph.bin,45954,8051348,0.2268800139427185,0.14529746770858765,0.2268800139427185,0.2268800139427185,0.8398797512054443,1.0,,,,
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,camouflage_feature_oracle,0.15,0,0,pmp,train_on_variant,ok,True,True,canonical,camouflage_feature,replace_fraud_features_with_normal_features,p_cam_feat,0.15,1001.0,nodes_selected,1001.0,nodes_changed,0.8167344941926229,0.5232340702380137,0.7076655451911891,/kaggle/working/gfd-robustness-v3-final-r5/graphs/base/yelpchi/s0/graph.bin,/kaggle/working/gfd-robustness-v3-final-r5/graphs/variants/yelpchi/s0/camouflage_feature_oracle/0.15/seed_0/graph.bin,45954,8051348,0.2268800139427185,0.14529746770858765,0.2268800139427185,0.2268800139427185,0.8398797512054443,1.0,,,,
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,camouflage_feature_oracle,0.15,0,0,sage,train_clean_eval_all,ok,True,True,canonical,camouflage_feature,replace_fraud_features_with_normal_features,p_cam_feat,0.15,1001.0,nodes_selected,1001.0,nodes_changed,0.7610613445651975,0.401321191767722,0.6551689792140725,/kaggle/working/gfd-robustness-v3-final-r5/graphs/base/yelpchi/s0/graph.bin,/kaggle/working/gfd-robustness-v3-final-r5/graphs/variants/yelpchi/s0/camouflage_feature_oracle/0.15/seed_0/graph.bin,45954,8051348,0.2268800139427185,0.14529746770858765,0.2268800139427185,0.2268800139427185,0.8398797512054443,1.0,,,,
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,camouflage_feature_oracle,0.15,0,0,sage,train_on_variant,ok,True,True,canonical,camouflage_feature,replace_fraud_features_with_normal_features,p_cam_feat,0.15,1001.0,nodes_selected,1001.0,nodes_changed,0.7628294756591705,0.4004522108183456,0.6527408295347946,/kaggle/working/gfd-robustness-v3-final-r5/graphs/base/yelpchi/s0/graph.bin,/kaggle/working/gfd-robustness-v3-final-r5/graphs/variants/yelpchi/s0/camouflage_feature_oracle/0.15/seed_0/graph.bin,45954,8051348,0.2268800139427185,0.14529746770858765,0.2268800139427185,0.2268800139427185,0.8398797512054443,1.0,,,,
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,camouflage_feature_oracle,0.15,0,0,secgfd,train_clean_eval_all,ok,True,True,canonical,camouflage_feature,replace_fraud_features_with_normal_features,p_cam_feat,0.15,1001.0,nodes_selected,1001.0,nodes_changed,0.7791552682567655,0.4370116720904638,0.6746424411868727,/kaggle/working/gfd-robustness-v3-final-r5/graphs/base/yelpchi/s0/graph.bin,/kaggle/working/gfd-robustness-v3-final-r5/graphs/variants/yelpchi/s0/camouflage_feature_oracle/0.15/seed_0/graph.bin,45954,8051348,0.2268800139427185,0.14529746770858765,0.2268800139427185,0.2268800139427185,0.8398797512054443,1.0,,,,
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,camouflage_feature_oracle,0.15,0,0,secgfd,train_on_variant,ok,True,True,canonical,camouflage_feature,replace_fraud_features_with_normal_features,p_cam_feat,0.15,1001.0,nodes_selected,1001.0,nodes_changed,0.7923717507385941,0.4476188959409908,0.6811321457323907,/kaggle/working/gfd-robustness-v3-final-r5/graphs/base/yelpchi/s0/graph.bin,/kaggle/working/gfd-robustness-v3-final-r5/graphs/variants/yelpchi/s0/camouflage_feature_oracle/0.15/seed_0/graph.bin,45954,8051348,0.2268800139427185,0.14529746770858765,0.2268800139427185,0.2268800139427185,0.8398797512054443,1.0,,,,
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,camouflage_feature_oracle,0.15,0,1,mlp,train_clean_eval_all,ok,True,True,canonical,camouflage_feature,replace_fraud_features_with_normal_features,p_cam_feat,0.15,1001.0,nodes_selected,1001.0,nodes_changed,0.7616779948885325,0.3931463689690567,0.6503403726749826,/kaggle/working/gfd-robustness-v3-final-r5/graphs/base/yelpchi/s0/graph.bin,/kaggle/working/gfd-robustness-v3-final-r5/graphs/variants/yelpchi/s0/camouflage_feature_oracle/0.15/seed_0/graph.bin,45954,8051348,0.2268800139427185,0.14529746770858765,0.2268800139427185,0.2268800139427185,0.8398797512054443,1.0,,,,
gfd_kaggle_notebook_v3_final_r5,yelpchi,s0,camouflage_feature_oracle,0.15,0,1,mlp,train_on_variant,ok,True,True,canonical,camouflage_feature,replace_fraud_features_with_normal_features,p_cam_feat,0.15,1001.0,nodes_selected,1001.0,nodes_changed,0.756842952333622,0.3864041919326789,0.649582916904172,/kaggle/working/gfd-robustness-v3-final-r5/graphs/base/yelpchi/s0/graph.bin,/kaggle/working/gfd-robustness-v3-final-r5/graphs/variants/yelpchi/s0/camouflage_feature_oracle/0.15/seed_0/graph.bin,45954,8051348,0.2268800139427185,0.14529746770858765,0.2268800139427185,0.2268800139427185,0.8398797512054443,1.0,,,,
