dataset_id,split_id,scenario_id,model_id,protocol,metric,max_severity,oracle_labels,clean_mean,clean_std,clean_ci_lower,clean_ci_upper,max_severity_mean,max_severity_std,max_severity_ci_lower,max_severity_ci_upper,drop_mean,drop_std,drop_ci_lower,drop_ci_upper,n_clean_runs,n_max_runs
yelpchi,s0,heterophily_rewire_oracle,mlp,train_clean_eval_all,roc_auc,0.3,True,0.7812706633893618,0.028782937533635766,0.7480379426991232,0.7982706898766113,0.7812706633893618,0.025744241966935887,0.7645264143301991,0.7980149124485245,0.0,0.016581382061336334,-0.03323272069023864,0.03323272069023864,3,6
yelpchi,s0,heterophily_rewire_oracle,sage,train_clean_eval_all,roc_auc,0.3,True,0.7921178272591782,0.007750399336005183,0.7833336675998815,0.7979923355618194,0.7681420588685155,0.011970557654333554,0.7593723576269049,0.776962729803885,0.023975768390662733,0.00587274816019572,0.011837488068033971,0.0348675088583812,3,6
yelpchi,s0,heterophily_rewire_oracle,pmp,train_clean_eval_all,roc_auc,0.3,True,0.849193776874713,0.0038429465319576995,0.8450166598130114,0.8525792578539458,0.7634662296143456,0.004816420072303788,0.7603874611194806,0.7673977282514909,0.08572754726036735,0.002515596020526882,0.0807207287190196,0.09032252718261922,3,6
yelpchi,s0,heterophily_rewire_oracle,secgfd,train_clean_eval_all,roc_auc,0.3,True,0.8137073493351891,0.0033135546661232375,0.80989180387316,0.8158618083969534,0.5347394192171918,0.01753178456838614,0.5223867398540495,0.5474528563481489,0.27896793011799725,0.0066621489856280875,0.2661251617064052,0.2904159144379106,3,6
yelpchi,s0,heterophily_rewire_oracle,mlp,train_clean_eval_all,average_precision,0.3,True,0.39937979216947617,0.05468471766479163,0.3362490943810395,0.43208732915537756,0.39937979216947617,0.04891149841154306,0.3674337139113635,0.43132587042758885,0.0,0.031495276208567,-0.06313069778843666,0.06313069778843666,3,6
yelpchi,s0,heterophily_rewire_oracle,sage,train_clean_eval_all,average_precision,0.3,True,0.4299337735979076,0.015922581453379436,0.4117661955739737,0.4414635658187256,0.3842157130302677,0.023690000923236188,0.36675193481860996,0.4018230818959476,0.045718060567639884,0.01181987185787143,0.021766586286541375,0.06791545962882037,3,6
yelpchi,s0,heterophily_rewire_oracle,pmp,train_clean_eval_all,average_precision,0.3,True,0.5677252637869848,0.013443553198234745,0.5522038320561967,0.5756933208292596,0.3859081744555027,0.01818931858169678,0.3731747129796428,0.3979773681808485,0.18181708933148216,0.009116809507180487,0.16235261400320425,0.20056143958853406,3,6
yelpchi,s0,heterophily_rewire_oracle,secgfd,train_clean_eval_all,average_precision,0.3,True,0.47357763672427805,0.0030266330611615523,0.47055078915856036,0.47660405523526644,0.15904793631000527,0.011860808702769158,0.15066879843577577,0.16765323957240383,0.31452970041427275,0.004605850590872078,0.30515470740080713,0.3229365732717274,3,6
yelpchi,s0,heterophily_rewire_oracle,mlp,train_clean_eval_all,f1_macro,0.3,True,0.6531843309265226,0.023559940421078222,0.6259796960386661,0.6668275520202774,0.6531843309265226,0.02107265133095037,0.6395683789326522,0.6668002829203931,0.0,0.013579230163254427,-0.027204634887856516,0.027191341201662993,3,6
yelpchi,s0,heterophily_rewire_oracle,sage,train_clean_eval_all,f1_macro,0.3,True,0.6708474707363034,0.005838419786779025,0.6647939557802494,0.6764439291919299,0.649317369696324,0.008027327903804527,0.6435891365104163,0.6552520784951054,0.02153010103997932,0.00413457655999719,0.013261520686778883,0.029365678229376028,3,6
yelpchi,s0,heterophily_rewire_oracle,pmp,train_clean_eval_all,f1_macro,0.3,True,0.719663923941368,0.002034369365771763,0.7181258231096347,0.7219706164124466,0.6415382934075567,0.012233442569188402,0.6320735095064535,0.650865487272692,0.07812563053381127,0.004631909061319242,0.06919688259090467,0.0874941730048806,3,6
yelpchi,s0,heterophily_rewire_oracle,secgfd,train_clean_eval_all,f1_macro,0.3,True,0.6890827928071466,0.0033915183002178237,0.6853141225973655,0.6918892125166929,0.5045724006355252,0.009441631930065433,0.4977976442876455,0.5116690107775763,0.18451039217162135,0.0038343575780087702,0.1771704840492584,0.19167364238458207,3,6
yelpchi,s0,heterophily_rewire_nonoracle,mlp,train_clean_eval_all,roc_auc,0.3,False,0.7812706633893618,0.028782937533635766,0.7480379426991232,0.7982706898766113,0.7812706633893618,0.025744241966935887,0.7645264143301991,0.7980149124485245,0.0,0.016581382061336334,-0.03323272069023864,0.03323272069023864,3,6
yelpchi,s0,heterophily_rewire_nonoracle,sage,train_clean_eval_all,roc_auc,0.3,False,0.7921178272591782,0.007750399336005183,0.7833336675998815,0.7979923355618194,0.7857341658968214,0.005168071692442259,0.782033115610286,0.789370495659013,0.006383661362356796,0.004262658595939565,-0.0028567915384066856,0.013517348626401077,3,6
yelpchi,s0,heterophily_rewire_nonoracle,pmp,train_clean_eval_all,roc_auc,0.3,False,0.849193776874713,0.0038429465319576995,0.8450166598130114,0.8525792578539458,0.8167873019554069,0.00553589520361139,0.8128265912207219,0.8209311914037093,0.03240647491930604,0.0027369812622826976,0.026952048062257573,0.0376739000379617,3,6
yelpchi,s0,heterophily_rewire_nonoracle,secgfd,train_clean_eval_all,roc_auc,0.3,False,0.8137073493351891,0.0033135546661232375,0.80989180387316,0.8158618083969534,0.8076894855432973,0.0036906713826831278,0.8049540497829443,0.8101138872232463,0.006017863791891731,0.0020722001143269357,0.001770210434369235,0.009870644195236566,3,6
yelpchi,s0,heterophily_rewire_nonoracle,mlp,train_clean_eval_all,average_precision,0.3,False,0.39937979216947617,0.05468471766479163,0.3362490943810395,0.43208732915537756,0.39937979216947617,0.04891149841154306,0.3674337139113635,0.43132587042758885,0.0,0.031495276208567,-0.06313069778843666,0.06313069778843666,3,6
yelpchi,s0,heterophily_rewire_nonoracle,sage,train_clean_eval_all,average_precision,0.3,False,0.4299337735979076,0.015922581453379436,0.4117661955739737,0.4414635658187256,0.4156625493841625,0.012648558036088166,0.40695325165483004,0.424265764875293,0.014271224213745048,0.009147350701280792,-0.004767298038199105,0.030037122882245696,3,6
yelpchi,s0,heterophily_rewire_nonoracle,pmp,train_clean_eval_all,average_precision,0.3,False,0.5677252637869848,0.013443553198234745,0.5522038320561967,0.5756933208292596,0.4894751373981389,0.00725939669077056,0.48380906711793176,0.4949352137898453,0.07825012638884593,0.007018052436211975,0.06362942560360921,0.09010915923191921,3,6
yelpchi,s0,heterophily_rewire_nonoracle,secgfd,train_clean_eval_all,average_precision,0.3,False,0.47357763672427805,0.0030266330611615523,0.47055078915856036,0.47660405523526644,0.45824431763254553,0.007212445951791104,0.45305481108169016,0.46335901381708816,0.015333319091732522,0.0030021923694598792,0.008967937159376554,0.020969697894735257,3,6
yelpchi,s0,heterophily_rewire_nonoracle,mlp,train_clean_eval_all,f1_macro,0.3,False,0.6531843309265226,0.023559940421078222,0.6259796960386661,0.6668275520202774,0.6531843309265226,0.02107265133095037,0.6395683789326522,0.6668002829203931,0.0,0.013579230163254427,-0.027204634887856516,0.027191341201662993,3,6
yelpchi,s0,heterophily_rewire_nonoracle,sage,train_clean_eval_all,f1_macro,0.3,False,0.6708474707363034,0.005838419786779025,0.6647939557802494,0.6764439291919299,0.663215791960856,0.0031623638571279043,0.6607424919198973,0.6655553030859356,0.007631678775447348,0.003073463452515834,0.0012571550245535608,0.013308569510788662,3,6
yelpchi,s0,heterophily_rewire_nonoracle,pmp,train_clean_eval_all,f1_macro,0.3,False,0.719663923941368,0.002034369365771763,0.7181258231096347,0.7219706164124466,0.6828177749769498,0.00873407772819326,0.676843773022494,0.6893171812296152,0.03684614896441818,0.0033650513176963896,0.03009755143319032,0.04305101838583041,3,6
