dataset_id,split_id,scenario_id,severity,model_id,protocol,metric,oracle_labels,mean,std,ci_lower,ci_upper,n_runs,source
yelpchi,s0,heterophily_rewire_oracle,0.3,secgfd,train_clean_eval_all,f1_macro,True,0.5045724006355252,0.009441631930065433,0.4977976442876455,0.5116690107775763,6,scenario
yelpchi,s0,heterophily_rewire_nonoracle,0.0,mlp,train_clean_eval_all,roc_auc,False,0.7812706633893618,0.028782937533635766,0.7480379426991232,0.7982706898766113,3,clean
yelpchi,s0,heterophily_rewire_nonoracle,0.15,mlp,train_clean_eval_all,roc_auc,False,0.7812706633893618,0.025744241966935887,0.7645264143301991,0.7980149124485245,6,scenario
yelpchi,s0,heterophily_rewire_nonoracle,0.3,mlp,train_clean_eval_all,roc_auc,False,0.7812706633893618,0.025744241966935887,0.7645264143301991,0.7980149124485245,6,scenario
yelpchi,s0,heterophily_rewire_nonoracle,0.0,sage,train_clean_eval_all,roc_auc,False,0.7921178272591782,0.007750399336005183,0.7833336675998815,0.7979923355618194,3,clean
yelpchi,s0,heterophily_rewire_nonoracle,0.15,sage,train_clean_eval_all,roc_auc,False,0.7881860249238031,0.005968540670130216,0.7839032067353169,0.7924416132411857,6,scenario
yelpchi,s0,heterophily_rewire_nonoracle,0.3,sage,train_clean_eval_all,roc_auc,False,0.7857341658968214,0.005168071692442259,0.782033115610286,0.789370495659013,6,scenario
yelpchi,s0,heterophily_rewire_nonoracle,0.0,pmp,train_clean_eval_all,roc_auc,False,0.849193776874713,0.0038429465319576995,0.8450166598130114,0.8525792578539458,3,clean
yelpchi,s0,heterophily_rewire_nonoracle,0.15,pmp,train_clean_eval_all,roc_auc,False,0.8311466366052264,0.003855469678359864,0.82836611292237,0.8342825113838007,6,scenario
yelpchi,s0,heterophily_rewire_nonoracle,0.3,pmp,train_clean_eval_all,roc_auc,False,0.8167873019554069,0.00553589520361139,0.8128265912207219,0.8209311914037093,6,scenario
yelpchi,s0,heterophily_rewire_nonoracle,0.0,secgfd,train_clean_eval_all,roc_auc,False,0.8137073493351891,0.0033135546661232375,0.80989180387316,0.8158618083969534,3,clean
yelpchi,s0,heterophily_rewire_nonoracle,0.15,secgfd,train_clean_eval_all,roc_auc,False,0.8099224238005659,0.003212905508373561,0.8075249902753048,0.8121133359792,6,scenario
yelpchi,s0,heterophily_rewire_nonoracle,0.3,secgfd,train_clean_eval_all,roc_auc,False,0.8076894855432973,0.0036906713826831278,0.8049540497829443,0.8101138872232463,6,scenario
