dataset_id,split_id,scenario_id,model_id,protocol,metric,oracle_labels,robustness_auc_mean,robustness_auc_std,robustness_auc_ci_lower,robustness_auc_ci_upper,robustness_avg_metric_mean,robustness_avg_metric_std,robustness_avg_metric_ci_lower,robustness_avg_metric_ci_upper,min_n_runs_per_severity
yelpchi,s0,heterophily_rewire_oracle,mlp,train_clean_eval_all,roc_auc,True,0.23438119901680854,0.001940017183535165,0.23064251793915666,0.23811028844090715,0.7812706633893618,0.006466723945117217,0.7688083931305222,0.7937009614696905,3
yelpchi,s0,heterophily_rewire_oracle,sage,train_clean_eval_all,roc_auc,True,0.23343560242200173,0.000676609914046588,0.23214602154708572,0.23478710947995454,0.7781186747400058,0.0022553663801552926,0.7738200718236191,0.7826236982665151,3
yelpchi,s0,heterophily_rewire_oracle,pmp,train_clean_eval_all,roc_auc,True,0.23909874846793175,0.0002745858492952204,0.23857006515565637,0.23962129489499473,0.7969958282264392,0.000915286164317401,0.7952335505188546,0.7987376496499825,3
yelpchi,s0,heterophily_rewire_oracle,secgfd,train_clean_eval_all,roc_auc,True,0.20434542428834096,0.0006636566382720186,0.20303544705519785,0.20566144810857814,0.6811514142944699,0.0022121887942400625,0.6767848235173262,0.6855381603619272,3
yelpchi,s0,heterophily_rewire_oracle,mlp,train_clean_eval_all,average_precision,True,0.11981393765084285,0.003685234815723423,0.11271173414964372,0.1268875864497499,0.39937979216947617,0.01228411605241141,0.3757057804988124,0.42295862149916635,3
yelpchi,s0,heterophily_rewire_oracle,sage,train_clean_eval_all,average_precision,True,0.12080775134833682,0.0013752214083141074,0.1181454091482482,0.12348376831901751,0.4026925044944561,0.004584071361047025,0.3938180304941607,0.4116125610633917,3
yelpchi,s0,heterophily_rewire_oracle,pmp,train_clean_eval_all,average_precision,True,0.1348506408351746,0.0008635013830680383,0.1329965442025422,0.1363642621481386,0.44950213611724865,0.0028783379435601266,0.44332181400847404,0.45454754049379537,3
yelpchi,s0,heterophily_rewire_oracle,secgfd,train_clean_eval_all,average_precision,True,0.08926052727118891,0.0009690628727903647,0.08743819761467825,0.09123993063787081,0.2975350909039631,0.0032302095759678823,0.2914606587155941,0.304133102126236,3
yelpchi,s0,heterophily_rewire_oracle,mlp,train_clean_eval_all,f1_macro,True,0.19595529927795677,0.0015884970215316108,0.19289372969704613,0.19901377552034932,0.6531843309265226,0.005294990071772036,0.6429790989901539,0.6633792517344977,3
yelpchi,s0,heterophily_rewire_oracle,sage,train_clean_eval_all,f1_macro,True,0.1974046600170776,0.00045381742558628623,0.19654543381319195,0.19831972283228969,0.6580155333902586,0.0015127247519542877,0.6551514460439731,0.661065742774299,3
yelpchi,s0,heterophily_rewire_oracle,pmp,train_clean_eval_all,f1_macro,True,0.20063172678193647,0.0007335323710331296,0.19921834459115859,0.20207409775858665,0.668772422606455,0.002445107903443765,0.6640611486371953,0.6735803258619555,3
