dataset_id,scenario_id,severity,protocol,audit_metric,audit_metric_label,audit_metric_unit,oracle_labels,graph_view_mode,mean,std,ci_lower,ci_upper,n_splits,source
yelpchi,camouflage_relation_oracle,0.15,train_clean_eval_all,fraud_to_normal_neighbor_ratio_before,Fraud-to-normal neighbor ratio before,,True,heterograph_aware_generation,0.8152660609767771,0.0,0.8152660609767771,0.8152660609767771,1,scenario
yelpchi,camouflage_relation_oracle,0.15,train_clean_eval_all,fraud_to_normal_neighbor_ratio_shift,Fraud-to-normal neighbor ratio shift,,True,heterograph_aware_generation,0.00714729066982267,0.0,0.00714729066982267,0.00714729066982267,1,scenario
yelpchi,camouflage_relation_oracle,0.15,train_clean_eval_all,heterophily_ratio_after,Heterophily ratio after,,True,heterograph_aware_generation,0.2271004468202591,0.0,0.2271004468202591,0.2271004468202591,1,scenario
yelpchi,camouflage_relation_oracle,0.15,train_clean_eval_all,heterophily_ratio_before,Heterophily ratio before,,True,heterograph_aware_generation,0.2268800139427185,0.0,0.2268800139427185,0.2268800139427185,1,scenario
yelpchi,camouflage_relation_oracle,0.15,train_clean_eval_all,heterophily_ratio_shift,Heterophily ratio shift,,True,heterograph_aware_generation,0.00022043287754058838,0.0,0.00022043287754058838,0.00022043287754058838,1,scenario
yelpchi,camouflage_relation_oracle,0.15,train_clean_eval_all,realized_change,Realized change,nodes_changed,True,heterograph_aware_generation,1001.0,0.0,1001.0,1001.0,1,scenario
yelpchi,camouflage_relation_oracle,0.15,train_clean_eval_all,requested_change,Requested change,nodes_selected,True,heterograph_aware_generation,1001.0,0.0,1001.0,1001.0,1,scenario
yelpchi,camouflage_relation_oracle,0.15,train_on_variant,fraud_to_normal_neighbor_ratio_after,Fraud-to-normal neighbor ratio after,,True,heterograph_aware_generation,0.8224133516465998,0.0,0.8224133516465998,0.8224133516465998,1,scenario
yelpchi,camouflage_relation_oracle,0.15,train_on_variant,fraud_to_normal_neighbor_ratio_before,Fraud-to-normal neighbor ratio before,,True,heterograph_aware_generation,0.8152660609767771,0.0,0.8152660609767771,0.8152660609767771,1,scenario
yelpchi,camouflage_relation_oracle,0.15,train_on_variant,fraud_to_normal_neighbor_ratio_shift,Fraud-to-normal neighbor ratio shift,,True,heterograph_aware_generation,0.00714729066982267,0.0,0.00714729066982267,0.00714729066982267,1,scenario
yelpchi,camouflage_relation_oracle,0.15,train_on_variant,heterophily_ratio_after,Heterophily ratio after,,True,heterograph_aware_generation,0.2271004468202591,0.0,0.2271004468202591,0.2271004468202591,1,scenario
yelpchi,camouflage_relation_oracle,0.15,train_on_variant,heterophily_ratio_before,Heterophily ratio before,,True,heterograph_aware_generation,0.2268800139427185,0.0,0.2268800139427185,0.2268800139427185,1,scenario
yelpchi,camouflage_relation_oracle,0.15,train_on_variant,heterophily_ratio_shift,Heterophily ratio shift,,True,heterograph_aware_generation,0.00022043287754058838,0.0,0.00022043287754058838,0.00022043287754058838,1,scenario
yelpchi,camouflage_relation_oracle,0.15,train_on_variant,realized_change,Realized change,nodes_changed,True,heterograph_aware_generation,1001.0,0.0,1001.0,1001.0,1,scenario
yelpchi,camouflage_relation_oracle,0.15,train_on_variant,requested_change,Requested change,nodes_selected,True,heterograph_aware_generation,1001.0,0.0,1001.0,1001.0,1,scenario
yelpchi,camouflage_relation_oracle,0.3,train_clean_eval_all,fraud_to_normal_neighbor_ratio_after,Fraud-to-normal neighbor ratio after,,True,heterograph_aware_generation,0.8208797969339449,0.0,0.8208797969339449,0.8208797969339449,1,scenario
yelpchi,camouflage_relation_oracle,0.3,train_clean_eval_all,fraud_to_normal_neighbor_ratio_before,Fraud-to-normal neighbor ratio before,,True,heterograph_aware_generation,0.813849299744419,0.0,0.813849299744419,0.813849299744419,1,scenario
yelpchi,camouflage_relation_oracle,0.3,train_clean_eval_all,fraud_to_normal_neighbor_ratio_shift,Fraud-to-normal neighbor ratio shift,,True,heterograph_aware_generation,0.007030497189525864,0.0,0.007030497189525864,0.007030497189525864,1,scenario
yelpchi,camouflage_relation_oracle,0.3,train_clean_eval_all,heterophily_ratio_after,Heterophily ratio after,,True,heterograph_aware_generation,0.22732102870941162,0.0,0.22732102870941162,0.22732102870941162,1,scenario
yelpchi,camouflage_relation_oracle,0.3,train_clean_eval_all,heterophily_ratio_before,Heterophily ratio before,,True,heterograph_aware_generation,0.2268800139427185,0.0,0.2268800139427185,0.2268800139427185,1,scenario
