dataset_id,scenario_id,model_id,protocol,metric,oracle_labels,robustness_auc_mean,robustness_auc_std,robustness_auc_ci_lower,robustness_auc_ci_upper,robustness_avg_metric_mean,robustness_avg_metric_std,robustness_avg_metric_ci_lower,robustness_avg_metric_ci_upper,n_splits
yelpchi,camouflage_feature_oracle,mlp,train_clean_eval_all,average_precision,True,0.10790845437536865,0.0,0.10790845437536865,0.10790845437536865,0.3596948479178955,0.0,0.3596948479178955,0.3596948479178955,1
yelpchi,camouflage_feature_oracle,mlp,train_clean_eval_all,f1_macro,True,0.1901498466252257,0.0,0.1901498466252257,0.1901498466252257,0.6338328220840856,0.0,0.6338328220840856,0.6338328220840856,1
yelpchi,camouflage_feature_oracle,mlp,train_clean_eval_all,roc_auc,True,0.22223913923918326,0.0,0.22223913923918326,0.22223913923918326,0.7407971307972776,0.0,0.7407971307972776,0.7407971307972776,1
yelpchi,camouflage_feature_oracle,mlp,train_on_variant,average_precision,True,0.10759759268159014,0.0,0.10759759268159014,0.10759759268159014,0.35865864227196714,0.0,0.35865864227196714,0.35865864227196714,1
yelpchi,camouflage_feature_oracle,mlp,train_on_variant,f1_macro,True,0.19040979480528425,0.0,0.19040979480528425,0.19040979480528425,0.6346993160176142,0.0,0.6346993160176142,0.6346993160176142,1
yelpchi,camouflage_feature_oracle,mlp,train_on_variant,roc_auc,True,0.22193070614554686,0.0,0.22193070614554686,0.22193070614554686,0.7397690204851562,0.0,0.7397690204851562,0.7397690204851562,1
yelpchi,camouflage_feature_oracle,pmp,train_clean_eval_all,average_precision,True,0.1530151758492852,0.0,0.1530151758492852,0.1530151758492852,0.510050586164284,0.0,0.510050586164284,0.510050586164284,1
yelpchi,camouflage_feature_oracle,pmp,train_clean_eval_all,f1_macro,True,0.20818010501718165,0.0,0.20818010501718165,0.20818010501718165,0.6939336833906056,0.0,0.6939336833906056,0.6939336833906056,1
yelpchi,camouflage_feature_oracle,pmp,train_clean_eval_all,roc_auc,True,0.24189657942659104,0.0,0.24189657942659104,0.24189657942659104,0.8063219314219702,0.0,0.8063219314219702,0.8063219314219702,1
yelpchi,camouflage_feature_oracle,pmp,train_on_variant,average_precision,True,0.14885662345226192,0.0,0.14885662345226192,0.14885662345226192,0.49618874484087305,0.0,0.49618874484087305,0.49618874484087305,1
yelpchi,camouflage_feature_oracle,pmp,train_on_variant,f1_macro,True,0.20792086921754976,0.0,0.20792086921754976,0.20792086921754976,0.6930695640584993,0.0,0.6930695640584993,0.6930695640584993,1
yelpchi,camouflage_feature_oracle,pmp,train_on_variant,roc_auc,True,0.2409774205070479,0.0,0.2409774205070479,0.2409774205070479,0.8032580683568263,0.0,0.8032580683568263,0.8032580683568263,1
yelpchi,camouflage_feature_oracle,sage,train_clean_eval_all,average_precision,True,0.11569432383200459,0.0,0.11569432383200459,0.11569432383200459,0.385647746106682,0.0,0.385647746106682,0.385647746106682,1
yelpchi,camouflage_feature_oracle,sage,train_clean_eval_all,f1_macro,True,0.19470245875741682,0.0,0.19470245875741682,0.19470245875741682,0.6490081958580561,0.0,0.6490081958580561,0.6490081958580561,1
yelpchi,camouflage_feature_oracle,sage,train_clean_eval_all,roc_auc,True,0.22535364006386094,0.0,0.22535364006386094,0.22535364006386094,0.7511788002128699,0.0,0.7511788002128699,0.7511788002128699,1
yelpchi,camouflage_feature_oracle,sage,train_on_variant,average_precision,True,0.10852279392092487,0.0,0.10852279392092487,0.10852279392092487,0.3617426464030829,0.0,0.3617426464030829,0.3617426464030829,1
yelpchi,camouflage_feature_oracle,sage,train_on_variant,f1_macro,True,0.19070218950896262,0.0,0.19070218950896262,0.19070218950896262,0.6356739650298754,0.0,0.6356739650298754,0.6356739650298754,1
yelpchi,camouflage_feature_oracle,sage,train_on_variant,roc_auc,True,0.2199168796107346,0.0,0.2199168796107346,0.2199168796107346,0.7330562653691154,0.0,0.7330562653691154,0.7330562653691154,1
yelpchi,camouflage_feature_oracle,secgfd,train_clean_eval_all,average_precision,True,0.12757136563836058,0.0,0.12757136563836058,0.12757136563836058,0.42523788546120195,0.0,0.42523788546120195,0.42523788546120195,1
yelpchi,camouflage_feature_oracle,secgfd,train_clean_eval_all,f1_macro,True,0.19993019379416005,0.0,0.19993019379416005,0.19993019379416005,0.6664339793138668,0.0,0.6664339793138668,0.6664339793138668,1
yelpchi,camouflage_feature_oracle,secgfd,train_clean_eval_all,roc_auc,True,0.23073854270440153,0.0,0.23073854270440153,0.23073854270440153,0.7691284756813385,0.0,0.7691284756813385,0.7691284756813385,1
