dataset_id,scenario_id,model_id,protocol,metric,max_severity,oracle_labels,clean_mean,clean_std,clean_ci_lower,clean_ci_upper,max_severity_mean,max_severity_std,max_severity_ci_lower,max_severity_ci_upper,drop_mean,drop_std,drop_ci_lower,drop_ci_upper,n_splits
yelpchi,camouflage_feature_oracle,mlp,train_clean_eval_all,average_precision,0.3,True,0.39937979216947617,0.0,0.39937979216947617,0.39937979216947617,0.31697205988075333,0.0,0.31697205988075333,0.31697205988075333,0.08240773228872283,0.0,0.08240773228872283,0.08240773228872283,1
yelpchi,camouflage_feature_oracle,mlp,train_clean_eval_all,f1_macro,0.3,True,0.6531843309265226,0.0,0.6531843309265226,0.6531843309265226,0.6125329397078096,0.0,0.6125329397078096,0.6125329397078096,0.04065139121871297,0.0,0.04065139121871297,0.04065139121871297,1
yelpchi,camouflage_feature_oracle,mlp,train_clean_eval_all,roc_auc,0.3,True,0.7812706633893618,0.0,0.7812706633893618,0.7812706633893618,0.6986283487315084,0.0,0.6986283487315084,0.6986283487315084,0.08264231465785343,0.0,0.08264231465785343,0.08264231465785343,1
yelpchi,camouflage_feature_oracle,mlp,train_on_variant,average_precision,0.3,True,0.39937979216947617,0.0,0.39937979216947617,0.39937979216947617,0.3213149900893049,0.0,0.3213149900893049,0.3213149900893049,0.07806480208017125,0.0,0.07806480208017125,0.07806480208017125,1
yelpchi,camouflage_feature_oracle,mlp,train_on_variant,f1_macro,0.3,True,0.6531843309265226,0.0,0.6531843309265226,0.6531843309265226,0.6165957513076381,0.0,0.6165957513076381,0.6165957513076381,0.03658857961888451,0.0,0.03658857961888451,0.03658857961888451,1
yelpchi,camouflage_feature_oracle,mlp,train_on_variant,roc_auc,0.3,True,0.7812706633893618,0.0,0.7812706633893618,0.7812706633893618,0.6998875669454118,0.0,0.6998875669454118,0.6998875669454118,0.08138309644395003,0.0,0.08138309644395003,0.08138309644395003,1
yelpchi,camouflage_feature_oracle,pmp,train_clean_eval_all,average_precision,0.3,True,0.5677252637869848,0.0,0.5677252637869848,0.5677252637869848,0.4471068248245944,0.0,0.4471068248245944,0.4471068248245944,0.12061843896239044,0.0,0.12061843896239044,0.12061843896239044,1
yelpchi,camouflage_feature_oracle,pmp,train_clean_eval_all,f1_macro,0.3,True,0.719663923941368,0.0,0.719663923941368,0.719663923941368,0.665228898659338,0.0,0.665228898659338,0.665228898659338,0.054435025282030036,0.0,0.054435025282030036,0.054435025282030036,1
yelpchi,camouflage_feature_oracle,pmp,train_clean_eval_all,roc_auc,0.3,True,0.849193776874713,0.0,0.849193776874713,0.849193776874713,0.7631364609757063,0.0,0.7631364609757063,0.7631364609757063,0.08605731589900667,0.0,0.08605731589900667,0.08605731589900667,1
yelpchi,camouflage_feature_oracle,pmp,train_on_variant,average_precision,0.3,True,0.5677252637869848,0.0,0.5677252637869848,0.5677252637869848,0.41739097019771404,0.0,0.41739097019771404,0.41739097019771404,0.1503342935892708,0.0,0.1503342935892708,0.1503342935892708,1
yelpchi,camouflage_feature_oracle,pmp,train_on_variant,f1_macro,0.3,True,0.719663923941368,0.0,0.719663923941368,0.719663923941368,0.6612018980252039,0.0,0.6612018980252039,0.6612018980252039,0.05846202591616412,0.0,0.05846202591616412,0.05846202591616412,1
yelpchi,camouflage_feature_oracle,pmp,train_on_variant,roc_auc,0.3,True,0.849193776874713,0.0,0.849193776874713,0.849193776874713,0.759798136590236,0.0,0.759798136590236,0.759798136590236,0.089395640284477,0.0,0.089395640284477,0.089395640284477,1
yelpchi,camouflage_feature_oracle,sage,train_clean_eval_all,average_precision,0.3,True,0.4299337735979076,0.0,0.4299337735979076,0.4299337735979076,0.3372433239302628,0.0,0.3372433239302628,0.3372433239302628,0.09269044966764478,0.0,0.09269044966764478,0.09269044966764478,1
yelpchi,camouflage_feature_oracle,sage,train_clean_eval_all,f1_macro,0.3,True,0.6708474707363034,0.0,0.6708474707363034,0.6708474707363034,0.625476264240637,0.0,0.625476264240637,0.625476264240637,0.045371206495666394,0.0,0.045371206495666394,0.045371206495666394,1
yelpchi,camouflage_feature_oracle,sage,train_clean_eval_all,roc_auc,0.3,True,0.7921178272591782,0.0,0.7921178272591782,0.7921178272591782,0.708126709364494,0.0,0.708126709364494,0.708126709364494,0.08399111789468428,0.0,0.08399111789468428,0.08399111789468428,1
yelpchi,camouflage_feature_oracle,sage,train_on_variant,average_precision,0.3,True,0.42933223790816294,0.0,0.42933223790816294,0.42933223790816294,0.31183070912842636,0.0,0.31183070912842636,0.31183070912842636,0.11750152877973657,0.0,0.11750152877973657,0.11750152877973657,1
yelpchi,camouflage_feature_oracle,sage,train_on_variant,f1_macro,0.3,True,0.6708518031464994,0.0,0.6708518031464994,0.6708518031464994,0.611339253752072,0.0,0.611339253752072,0.611339253752072,0.059512549394427405,0.0,0.059512549394427405,0.059512549394427405,1
yelpchi,camouflage_feature_oracle,sage,train_on_variant,roc_auc,0.3,True,0.7920125055070611,0.0,0.7920125055070611,0.7920125055070611,0.6873711068983469,0.0,0.6873711068983469,0.6873711068983469,0.10464139860871424,0.0,0.10464139860871424,0.10464139860871424,1
yelpchi,camouflage_feature_oracle,secgfd,train_clean_eval_all,average_precision,0.3,True,0.47357763672427805,0.0,0.47357763672427805,0.47357763672427805,0.3714411216818621,0.0,0.3714411216818621,0.3714411216818621,0.10213651504241594,0.0,0.10213651504241594,0.10213651504241594,1
yelpchi,camouflage_feature_oracle,secgfd,train_clean_eval_all,f1_macro,0.3,True,0.6890827928071466,0.0,0.6890827928071466,0.6890827928071466,0.6412680832203002,0.0,0.6412680832203002,0.6412680832203002,0.047814709586846416,0.0,0.047814709586846416,0.047814709586846416,1
yelpchi,camouflage_feature_oracle,secgfd,train_clean_eval_all,roc_auc,0.3,True,0.8137073493351891,0.0,0.8137073493351891,0.8137073493351891,0.7237373362999052,0.0,0.7237373362999052,0.7237373362999052,0.08997001303528385,0.0,0.08997001303528385,0.08997001303528385,1
yelpchi,camouflage_feature_oracle,secgfd,train_on_variant,average_precision,0.3,True,0.4704254705348501,0.0,0.4704254705348501,0.4704254705348501,0.3948521883897093,0.0,0.3948521883897093,0.3948521883897093,0.07557328214514081,0.0,0.07557328214514081,0.07557328214514081,1
yelpchi,camouflage_feature_oracle,secgfd,train_on_variant,f1_macro,0.3,True,0.6869626295963105,0.0,0.6869626295963105,0.6869626295963105,0.6507056679446243,0.0,0.6507056679446243,0.6507056679446243,0.03625696165168624,0.0,0.03625696165168624,0.03625696165168624,1
yelpchi,camouflage_feature_oracle,secgfd,train_on_variant,roc_auc,0.3,True,0.812236381996699,0.0,0.812236381996699,0.812236381996699,0.7487853777869414,0.0,0.7487853777869414,0.7487853777869414,0.06345100420975758,0.0,0.06345100420975758,0.06345100420975758,1
yelpchi,camouflage_relation_oracle,mlp,train_clean_eval_all,average_precision,0.3,True,0.39937979216947617,0.0,0.39937979216947617,0.39937979216947617,0.39937979216947617,0.0,0.39937979216947617,0.39937979216947617,0.0,0.0,0.0,0.0,1
yelpchi,camouflage_relation_oracle,mlp,train_clean_eval_all,f1_macro,0.3,True,0.6531843309265226,0.0,0.6531843309265226,0.6531843309265226,0.6531843309265226,0.0,0.6531843309265226,0.6531843309265226,0.0,0.0,0.0,0.0,1
yelpchi,camouflage_relation_oracle,mlp,train_clean_eval_all,roc_auc,0.3,True,0.7812706633893618,0.0,0.7812706633893618,0.7812706633893618,0.7812706633893618,0.0,0.7812706633893618,0.7812706633893618,0.0,0.0,0.0,0.0,1
yelpchi,camouflage_relation_oracle,mlp,train_on_variant,average_precision,0.3,True,0.39937979216947617,0.0,0.39937979216947617,0.39937979216947617,0.39937979216947617,0.0,0.39937979216947617,0.39937979216947617,0.0,0.0,0.0,0.0,1
yelpchi,camouflage_relation_oracle,mlp,train_on_variant,f1_macro,0.3,True,0.6531843309265226,0.0,0.6531843309265226,0.6531843309265226,0.6531843309265226,0.0,0.6531843309265226,0.6531843309265226,0.0,0.0,0.0,0.0,1
yelpchi,camouflage_relation_oracle,mlp,train_on_variant,roc_auc,0.3,True,0.7812706633893618,0.0,0.7812706633893618,0.7812706633893618,0.7812706633893618,0.0,0.7812706633893618,0.7812706633893618,0.0,0.0,0.0,0.0,1
yelpchi,camouflage_relation_oracle,pmp,train_clean_eval_all,average_precision,0.3,True,0.5677252637869848,0.0,0.5677252637869848,0.5677252637869848,0.5684362323347804,0.0,0.5684362323347804,0.5684362323347804,-0.0007109685477955097,0.0,-0.0007109685477955097,-0.0007109685477955097,1
yelpchi,camouflage_relation_oracle,pmp,train_clean_eval_all,f1_macro,0.3,True,0.719663923941368,0.0,0.719663923941368,0.719663923941368,0.7191034909928123,0.0,0.7191034909928123,0.7191034909928123,0.000560432948555678,0.0,0.000560432948555678,0.000560432948555678,1
yelpchi,camouflage_relation_oracle,pmp,train_clean_eval_all,roc_auc,0.3,True,0.849193776874713,0.0,0.849193776874713,0.849193776874713,0.8499097881280463,0.0,0.8499097881280463,0.8499097881280463,-0.0007160112533333152,0.0,-0.0007160112533333152,-0.0007160112533333152,1
yelpchi,camouflage_relation_oracle,pmp,train_on_variant,average_precision,0.3,True,0.5677252637869848,0.0,0.5677252637869848,0.5677252637869848,0.5490791677585565,0.0,0.5490791677585565,0.5490791677585565,0.01864609602842837,0.0,0.01864609602842837,0.01864609602842837,1
yelpchi,camouflage_relation_oracle,pmp,train_on_variant,f1_macro,0.3,True,0.719663923941368,0.0,0.719663923941368,0.719663923941368,0.7175585036410933,0.0,0.7175585036410933,0.7175585036410933,0.0021054203002747185,0.0,0.0021054203002747185,0.0021054203002747185,1
yelpchi,camouflage_relation_oracle,pmp,train_on_variant,roc_auc,0.3,True,0.849193776874713,0.0,0.849193776874713,0.849193776874713,0.84603770914129,0.0,0.84603770914129,0.84603770914129,0.003156067733423029,0.0,0.003156067733423029,0.003156067733423029,1
yelpchi,camouflage_relation_oracle,sage,train_clean_eval_all,average_precision,0.3,True,0.4299337735979076,0.0,0.4299337735979076,0.4299337735979076,0.4296649755734044,0.0,0.4296649755734044,0.4296649755734044,0.0002687980245031918,0.0,0.0002687980245031918,0.0002687980245031918,1
yelpchi,camouflage_relation_oracle,sage,train_clean_eval_all,f1_macro,0.3,True,0.6708474707363034,0.0,0.6708474707363034,0.6708474707363034,0.6706427288023318,0.0,0.6706427288023318,0.6706427288023318,0.00020474193397157503,0.0,0.00020474193397157503,0.00020474193397157503,1
yelpchi,camouflage_relation_oracle,sage,train_clean_eval_all,roc_auc,0.3,True,0.7921178272591782,0.0,0.7921178272591782,0.7921178272591782,0.7918919472346041,0.0,0.7918919472346041,0.7918919472346041,0.00022588002457413214,0.0,0.00022588002457413214,0.00022588002457413214,1
yelpchi,camouflage_relation_oracle,sage,train_on_variant,average_precision,0.3,True,0.42933223790816294,0.0,0.42933223790816294,0.42933223790816294,0.3902424029238354,0.0,0.3902424029238354,0.3902424029238354,0.039089834984327554,0.0,0.039089834984327554,0.039089834984327554,1
yelpchi,camouflage_relation_oracle,sage,train_on_variant,f1_macro,0.3,True,0.6708518031464994,0.0,0.6708518031464994,0.6708518031464994,0.6503314733666037,0.0,0.6503314733666037,0.6503314733666037,0.020520329779895707,0.0,0.020520329779895707,0.020520329779895707,1
yelpchi,camouflage_relation_oracle,sage,train_on_variant,roc_auc,0.3,True,0.7920125055070611,0.0,0.7920125055070611,0.7920125055070611,0.762328935322456,0.0,0.762328935322456,0.762328935322456,0.0296835701846051,0.0,0.0296835701846051,0.0296835701846051,1
yelpchi,camouflage_relation_oracle,secgfd,train_clean_eval_all,average_precision,0.3,True,0.47357763672427805,0.0,0.47357763672427805,0.47357763672427805,0.47405218594736026,0.0,0.47405218594736026,0.47405218594736026,-0.00047454922308221015,0.0,-0.00047454922308221015,-0.00047454922308221015,1
yelpchi,camouflage_relation_oracle,secgfd,train_clean_eval_all,f1_macro,0.3,True,0.6890827928071466,0.0,0.6890827928071466,0.6890827928071466,0.689376504742432,0.0,0.689376504742432,0.689376504742432,-0.000293711935285379,0.0,-0.000293711935285379,-0.000293711935285379,1
yelpchi,camouflage_relation_oracle,secgfd,train_clean_eval_all,roc_auc,0.3,True,0.8137073493351891,0.0,0.8137073493351891,0.8137073493351891,0.8139618583765512,0.0,0.8139618583765512,0.8139618583765512,-0.0002545090413621498,0.0,-0.0002545090413621498,-0.0002545090413621498,1
yelpchi,camouflage_relation_oracle,secgfd,train_on_variant,average_precision,0.3,True,0.4704254705348501,0.0,0.4704254705348501,0.4704254705348501,0.4706734283806564,0.0,0.4706734283806564,0.4706734283806564,-0.0002479578458062792,0.0,-0.0002479578458062792,-0.0002479578458062792,1
yelpchi,camouflage_relation_oracle,secgfd,train_on_variant,f1_macro,0.3,True,0.6869626295963105,0.0,0.6869626295963105,0.6869626295963105,0.6891746459376599,0.0,0.6891746459376599,0.6891746459376599,-0.0022120163413493765,0.0,-0.0022120163413493765,-0.0022120163413493765,1
yelpchi,camouflage_relation_oracle,secgfd,train_on_variant,roc_auc,0.3,True,0.812236381996699,0.0,0.812236381996699,0.812236381996699,0.8129185418146649,0.0,0.8129185418146649,0.8129185418146649,-0.0006821598179659327,0.0,-0.0006821598179659327,-0.0006821598179659327,1
yelpchi,heterophily_rewire_nonoracle,mlp,train_clean_eval_all,average_precision,0.3,False,0.39937979216947617,0.0,0.39937979216947617,0.39937979216947617,0.39937979216947617,0.0,0.39937979216947617,0.39937979216947617,0.0,0.0,0.0,0.0,1
yelpchi,heterophily_rewire_nonoracle,mlp,train_clean_eval_all,f1_macro,0.3,False,0.6531843309265226,0.0,0.6531843309265226,0.6531843309265226,0.6531843309265226,0.0,0.6531843309265226,0.6531843309265226,0.0,0.0,0.0,0.0,1
yelpchi,heterophily_rewire_nonoracle,mlp,train_clean_eval_all,roc_auc,0.3,False,0.7812706633893618,0.0,0.7812706633893618,0.7812706633893618,0.7812706633893618,0.0,0.7812706633893618,0.7812706633893618,0.0,0.0,0.0,0.0,1
yelpchi,heterophily_rewire_nonoracle,mlp,train_on_variant,average_precision,0.3,False,0.39937979216947617,0.0,0.39937979216947617,0.39937979216947617,0.39937979216947617,0.0,0.39937979216947617,0.39937979216947617,0.0,0.0,0.0,0.0,1
yelpchi,heterophily_rewire_nonoracle,mlp,train_on_variant,f1_macro,0.3,False,0.6531843309265226,0.0,0.6531843309265226,0.6531843309265226,0.6531843309265226,0.0,0.6531843309265226,0.6531843309265226,0.0,0.0,0.0,0.0,1
yelpchi,heterophily_rewire_nonoracle,mlp,train_on_variant,roc_auc,0.3,False,0.7812706633893618,0.0,0.7812706633893618,0.7812706633893618,0.7812706633893618,0.0,0.7812706633893618,0.7812706633893618,0.0,0.0,0.0,0.0,1
yelpchi,heterophily_rewire_nonoracle,pmp,train_clean_eval_all,average_precision,0.3,False,0.5677252637869848,0.0,0.5677252637869848,0.5677252637869848,0.4894751373981389,0.0,0.4894751373981389,0.4894751373981389,0.07825012638884593,0.0,0.07825012638884593,0.07825012638884593,1
yelpchi,heterophily_rewire_nonoracle,pmp,train_clean_eval_all,f1_macro,0.3,False,0.719663923941368,0.0,0.719663923941368,0.719663923941368,0.6828177749769498,0.0,0.6828177749769498,0.6828177749769498,0.03684614896441818,0.0,0.03684614896441818,0.03684614896441818,1
