dataset_id,scenario_id,severity,model_id,protocol,metric,oracle_labels,mean,std,ci_lower,ci_upper,n_splits,source
yelpchi,camouflage_feature_oracle,0.15,sage,train_on_variant,f1_macro,True,0.6302524016104651,0.0,0.6302524016104651,0.6302524016104651,1,scenario
yelpchi,camouflage_feature_oracle,0.15,sage,train_on_variant,roc_auc,True,0.7264207245355268,0.0,0.7264207245355268,0.7264207245355268,1,scenario
yelpchi,camouflage_feature_oracle,0.15,secgfd,train_clean_eval_all,average_precision,True,0.42796639171933387,0.0,0.42796639171933387,0.42796639171933387,1,scenario
yelpchi,camouflage_feature_oracle,0.15,secgfd,train_clean_eval_all,f1_macro,True,0.6676925206140104,0.0,0.6676925206140104,0.6676925206140104,1,scenario
yelpchi,camouflage_feature_oracle,0.15,secgfd,train_clean_eval_all,roc_auc,True,0.7695346085451297,0.0,0.7695346085451297,0.7695346085451297,1,scenario
yelpchi,camouflage_feature_oracle,0.15,secgfd,train_on_variant,average_precision,True,0.42263683509951294,0.0,0.42263683509951294,0.42263683509951294,1,scenario
yelpchi,camouflage_feature_oracle,0.15,secgfd,train_on_variant,f1_macro,True,0.6644772972153697,0.0,0.6644772972153697,0.6644772972153697,1,scenario
yelpchi,camouflage_feature_oracle,0.15,secgfd,train_on_variant,roc_auc,True,0.7702933122267431,0.0,0.7702933122267431,0.7702933122267431,1,scenario
yelpchi,camouflage_feature_oracle,0.3,mlp,train_clean_eval_all,average_precision,True,0.31697205988075333,0.0,0.31697205988075333,0.31697205988075333,1,scenario
yelpchi,camouflage_feature_oracle,0.3,mlp,train_clean_eval_all,f1_macro,True,0.6125329397078096,0.0,0.6125329397078096,0.6125329397078096,1,scenario
yelpchi,camouflage_feature_oracle,0.3,mlp,train_clean_eval_all,roc_auc,True,0.6986283487315084,0.0,0.6986283487315084,0.6986283487315084,1,scenario
yelpchi,camouflage_feature_oracle,0.3,mlp,train_on_variant,average_precision,True,0.3213149900893049,0.0,0.3213149900893049,0.3213149900893049,1,scenario
yelpchi,camouflage_feature_oracle,0.3,mlp,train_on_variant,f1_macro,True,0.6165957513076381,0.0,0.6165957513076381,0.6165957513076381,1,scenario
yelpchi,camouflage_feature_oracle,0.3,mlp,train_on_variant,roc_auc,True,0.6998875669454118,0.0,0.6998875669454118,0.6998875669454118,1,scenario
yelpchi,camouflage_feature_oracle,0.3,pmp,train_clean_eval_all,average_precision,True,0.4471068248245944,0.0,0.4471068248245944,0.4471068248245944,1,scenario
yelpchi,camouflage_feature_oracle,0.3,pmp,train_clean_eval_all,f1_macro,True,0.665228898659338,0.0,0.665228898659338,0.665228898659338,1,scenario
yelpchi,camouflage_feature_oracle,0.3,pmp,train_clean_eval_all,roc_auc,True,0.7631364609757063,0.0,0.7631364609757063,0.7631364609757063,1,scenario
