experiment_name,dataset_id,split_id,scenario_id,severity,graph_seed,model_id,protocol,n_runs,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std,f1_macro_mean,f1_macro_std
gfd_robustness_benchmark_v4_factorial,yelpchi,r40_s0,camouflage_feature_oracle,0.15,0,pmp,train_on_variant,5,0.8091002805361781,0.0052854705157991426,0.5051960399911023,0.014406712702322745,0.6992870580444445,0.005145265824824148
gfd_robustness_benchmark_v4_factorial,yelpchi,r40_s0,camouflage_feature_oracle,0.15,1,pmp,train_on_variant,5,0.7940824030719111,0.00710169419345337,0.48564152152352785,0.009409167513147063,0.6910805588133252,0.004658977595406559
gfd_robustness_benchmark_v4_factorial,yelpchi,r40_s0,camouflage_feature_oracle,0.3,0,pmp,train_on_variant,5,0.7680490239924936,0.008248895607524976,0.43459007508423564,0.020844091823211,0.6678374095006194,0.00813055705752307
gfd_robustness_benchmark_v4_factorial,yelpchi,r40_s0,camouflage_feature_oracle,0.3,1,pmp,train_on_variant,5,0.7542955434916826,0.008237515551658761,0.4117957179343797,0.012796723893003391,0.6589996197521794,0.00721521113471308
gfd_robustness_benchmark_v4_factorial,yelpchi,r40_s0,camouflage_relation_oracle,0.15,0,pmp,train_on_variant,5,0.8419265386614754,0.006856850311999118,0.5429128167041593,0.021368552704091336,0.7162054172163668,0.006231434043899256
gfd_robustness_benchmark_v4_factorial,yelpchi,r40_s0,camouflage_relation_oracle,0.15,1,pmp,train_on_variant,5,0.8441894025086284,0.0027406903981911047,0.547298131837377,0.005233113530054478,0.7177081402196934,0.0018992754215899292
gfd_robustness_benchmark_v4_factorial,yelpchi,r40_s0,camouflage_relation_oracle,0.3,0,pmp,train_on_variant,5,0.8430975680703258,0.007765474363424655,0.5483769933694527,0.017964658511179763,0.7172865674105678,0.008749931741769834
gfd_robustness_benchmark_v4_factorial,yelpchi,r40_s0,camouflage_relation_oracle,0.3,1,pmp,train_on_variant,5,0.8400527991877752,0.0037444921442636387,0.5395135466478334,0.012247600598027845,0.7145536428058555,0.0027950226355850445
gfd_robustness_benchmark_v4_factorial,yelpchi,r40_s0,clean,0,717,pmp,train_on_variant,5,0.8465935467722904,0.0053034952490293285,0.5573005662067334,0.018706383216090285,0.7180227604746475,0.0029944450782016835
gfd_robustness_benchmark_v4_factorial,yelpchi,r40_s0,heterophily_rewire_nonoracle,0.15,0,pmp,train_on_variant,5,0.8417322384889081,0.0029721581153634206,0.5327818045717672,0.01291424887539682,0.7097991362228292,0.0034600858294811837
gfd_robustness_benchmark_v4_factorial,yelpchi,r40_s0,heterophily_rewire_nonoracle,0.15,1,pmp,train_on_variant,5,0.8339474190938388,0.008813791792980473,0.5128380376581568,0.01914500204924633,0.7045033463322045,0.006699186156037845
gfd_robustness_benchmark_v4_factorial,yelpchi,r40_s0,heterophily_rewire_nonoracle,0.3,0,pmp,train_on_variant,5,0.8363492481051136,0.0029204203809373793,0.5221319464884581,0.014104479429192041,0.707214514205527,0.0022476213025570753
gfd_robustness_benchmark_v4_factorial,yelpchi,r40_s0,heterophily_rewire_nonoracle,0.3,1,pmp,train_on_variant,5,0.8350022214036794,0.0058341397046161045,0.5229562911963964,0.021392666040686677,0.705260269073057,0.008029592309520262
gfd_robustness_benchmark_v4_factorial,yelpchi,r40_s0,heterophily_rewire_oracle,0.15,0,pmp,train_on_variant,5,0.8778682332699672,0.0026623454957673516,0.58596975958068,0.011620762881640144,0.7411655464458454,0.00504987329924933
gfd_robustness_benchmark_v4_factorial,yelpchi,r40_s0,heterophily_rewire_oracle,0.15,1,pmp,train_on_variant,5,0.8774361314285889,0.0028606079233485975,0.5846904898060178,0.009979758158592566,0.7427057492394641,0.004162636547193953
gfd_robustness_benchmark_v4_factorial,yelpchi,r40_s0,heterophily_rewire_oracle,0.3,0,pmp,train_on_variant,5,0.9006608473480737,0.012301446213064855,0.6342707975772789,0.02906030479075568,0.7624016358761327,0.014899843096921144
gfd_robustness_benchmark_v4_factorial,yelpchi,r40_s0,heterophily_rewire_oracle,0.3,1,pmp,train_on_variant,5,0.8883853768087552,0.02351569481492098,0.6005774992286728,0.058498911230015,0.750334487920403,0.024188635230683778
gfd_robustness_benchmark_v4_factorial,yelpchi,r40_s0,noise_edges_uniform,0.1,0,pmp,train_on_variant,5,0.8380759619063808,0.006220954502457979,0.5221349784442636,0.021171800438977883,0.7072444669207231,0.00755341346388045
gfd_robustness_benchmark_v4_factorial,yelpchi,r40_s0,noise_edges_uniform,0.1,1,pmp,train_on_variant,5,0.8391871615729843,0.0019850373875182265,0.5286045552226524,0.006106369863585266,0.7123513916050872,0.0010329692087925196
gfd_robustness_benchmark_v4_factorial,yelpchi,r40_s0,noise_edges_uniform,0.2,0,pmp,train_on_variant,5,0.8399730873347501,0.003623882687168649,0.5330937462284134,0.012012953716949853,0.7091617722399222,0.004422176562138418
gfd_robustness_benchmark_v4_factorial,yelpchi,r40_s0,noise_edges_uniform,0.2,1,pmp,train_on_variant,5,0.8352891007064283,0.0044052941116129165,0.5131342702364757,0.014387838520455474,0.7049261001452647,0.00329804197813496
gfd_robustness_benchmark_v4_factorial,yelpchi,r40_s1,camouflage_feature_oracle,0.15,0,pmp,train_on_variant,5,0.8029408945601668,0.0011119753037747877,0.4931306066381184,0.0033637407239281492,0.6909373332633062,0.0019405452354566955
gfd_robustness_benchmark_v4_factorial,yelpchi,r40_s1,camouflage_feature_oracle,0.15,1,pmp,train_on_variant,5,0.7922686243475371,0.007514854940288065,0.4794270950093769,0.01492762741265598,0.6857450399862121,0.004606171957689451
gfd_robustness_benchmark_v4_factorial,yelpchi,r40_s1,camouflage_feature_oracle,0.3,0,pmp,train_on_variant,5,0.7602693305471542,0.005902505375909621,0.4284818915124348,0.01077762205238456,0.6655686823436379,0.005871885101897296
gfd_robustness_benchmark_v4_factorial,yelpchi,r40_s1,camouflage_feature_oracle,0.3,1,pmp,train_on_variant,5,0.7526762340581058,0.010230803802198537,0.4157811969834515,0.014502992850903808,0.6571154727194314,0.004404255652468385
gfd_robustness_benchmark_v4_factorial,yelpchi,r40_s1,camouflage_relation_oracle,0.15,0,pmp,train_on_variant,5,0.842112573478298,0.002490354813834356,0.544296432802398,0.005830026916634651,0.7151972897138232,0.005867708029951898
gfd_robustness_benchmark_v4_factorial,yelpchi,r40_s1,camouflage_relation_oracle,0.15,1,pmp,train_on_variant,5,0.841058619141554,0.005624758828922841,0.5391598576208748,0.013622154819833233,0.7131779432161807,0.006650684666435319
gfd_robustness_benchmark_v4_factorial,yelpchi,r40_s1,camouflage_relation_oracle,0.3,0,pmp,train_on_variant,5,0.8414890250367392,0.004416378251946416,0.5412356805045956,0.012732362123783566,0.7161453862325101,0.005357198269221532
gfd_robustness_benchmark_v4_factorial,yelpchi,r40_s1,camouflage_relation_oracle,0.3,1,pmp,train_on_variant,5,0.8420071175431724,0.008642531149599274,0.5475406040088939,0.017771592340508104,0.7150569546477569,0.007285802085642323
gfd_robustness_benchmark_v4_factorial,yelpchi,r40_s1,clean,0,1729,pmp,train_on_variant,5,0.8451136884200032,0.004768992800007762,0.5522394269132922,0.011238358122940629,0.7175168767074801,0.0052720545805782495
gfd_robustness_benchmark_v4_factorial,yelpchi,r40_s1,heterophily_rewire_nonoracle,0.15,0,pmp,train_on_variant,5,0.833942436060923,0.004736376883413668,0.5187953970508308,0.013973350356417504,0.7048683386592491,0.005730766625408356
